episode,opsdemo_reward,baseline_reward
0,93.0,92.0
1,95.0,94.0
2,96.0,96.0
3,93.0,89.0
4,95.0,88.0
5,95.0,91.0
6,94.0,87.0
7,95.0,93.0
8,86.0,95.0
9,92.0,87.0
10,95.0,93.0
11,89.0,95.0
12,91.0,87.0
13,92.0,92.0
14,68.0,89.0
15,92.0,88.0
16,92.0,89.0
17,94.0,88.0
18,43.0,92.0
19,77.0,92.0
20,90.0,89.0
21,92.0,96.0
22,92.0,88.0
23,93.0,88.0
24,91.0,87.0
25,94.0,85.0
26,94.0,92.0
27,93.0,93.0
28,88.0,88.0
29,90.0,90.0
30,97.0,95.0
31,88.0,94.0
32,-60.0,91.0
33,-61.0,92.0
34,92.0,93.0
35,83.0,95.0
36,93.0,92.0
37,91.0,89.0
38,95.0,91.0
39,89.0,92.0
40,96.0,88.0
41,91.0,85.0
42,97.0,96.0
43,91.0,96.0
44,93.0,91.0
45,93.0,98.0
46,87.0,86.0
47,95.0,94.0
48,98.0,91.0
49,85.0,96.0
50,58.0,95.0
51,-57.0,92.0
52,90.0,92.0
53,71.0,89.0
54,93.0,92.0
55,88.0,98.0
56,86.0,90.0
57,93.0,88.0
58,94.0,97.0
59,89.0,85.0
60,87.0,93.0
61,90.0,92.0
62,89.0,96.0
63,-45.0,96.0
64,90.0,82.0
65,91.0,88.0
66,-67.0,93.0
67,96.0,84.0
68,90.0,93.0
69,93.0,95.0
70,95.0,87.0
71,81.0,89.0
72,90.0,85.0
73,93.0,94.0
74,91.0,93.0
75,75.0,93.0
76,90.0,96.0
77,90.0,90.0
78,-49.0,92.0
79,53.0,94.0
80,95.0,96.0
81,92.0,96.0
82,87.0,94.0
83,91.0,90.0
84,95.0,89.0
85,80.0,93.0
86,93.0,88.0
87,88.0,93.0
88,89.0,97.0
89,89.0,86.0
90,82.0,95.0
91,91.0,98.0
92,79.0,86.0
93,64.0,93.0
94,-51.0,96.0
95,84.0,92.0
96,93.0,90.0
97,86.0,93.0
98,92.0,87.0
99,89.0,92.0
100,93.0,96.0
101,85.0,84.0
102,94.0,84.0
103,91.0,94.0
104,91.0,75.0
105,95.0,87.0
106,89.0,86.0
107,63.0,96.0
108,59.0,93.0
109,90.0,90.0
110,94.0,89.0
111,75.0,85.0
112,89.0,90.0
113,78.0,83.0
114,98.0,91.0
115,90.0,86.0
116,85.0,95.0
117,84.0,94.0
118,94.0,92.0
119,95.0,89.0
120,93.0,87.0
121,91.0,92.0
122,-68.0,95.0
123,82.0,87.0
124,90.0,96.0
125,89.0,92.0
126,91.0,93.0
127,91.0,96.0
128,92.0,94.0
129,97.0,92.0
130,97.0,93.0
131,95.0,89.0
132,91.0,95.0
133,92.0,92.0
134,97.0,93.0
135,91.0,93.0
136,82.0,98.0
137,84.0,95.0
138,94.0,83.0
139,97.0,87.0
140,92.0,98.0
141,92.0,85.0
142,85.0,95.0
143,95.0,91.0
144,53.0,92.0
145,94.0,93.0
146,-61.0,88.0
147,88.0,92.0
148,90.0,88.0
149,95.0,90.0
150,93.0,92.0
151,95.0,91.0
152,91.0,88.0
153,91.0,91.0
154,92.0,94.0
155,93.0,88.0
156,82.0,97.0
157,92.0,84.0
158,-61.0,92.0
159,-50.0,89.0
160,81.0,88.0
161,87.0,91.0
162,92.0,86.0
163,91.0,86.0
164,97.0,90.0
165,86.0,92.0
166,78.0,96.0
167,70.0,91.0
168,85.0,92.0
169,93.0,92.0
170,90.0,93.0
171,-58.0,95.0
172,96.0,86.0
173,95.0,93.0
174,-56.0,91.0
175,92.0,87.0
176,91.0,92.0
177,93.0,84.0
178,94.0,94.0
