episode,opsdemo_reward,baseline_reward
0,85.0,97.0
1,95.0,87.0
2,86.0,96.0
3,89.0,93.0
4,94.0,91.0
5,93.0,92.0
6,93.0,88.0
7,91.0,93.0
8,95.0,93.0
9,92.0,93.0
10,54.0,89.0
11,94.0,93.0
12,71.0,98.0
13,95.0,81.0
14,-61.0,93.0
15,85.0,90.0
16,94.0,94.0
17,93.0,99.0
18,91.0,87.0
19,92.0,91.0
20,87.0,97.0
21,94.0,92.0
22,88.0,92.0
23,87.0,85.0
24,91.0,94.0
25,92.0,85.0
26,94.0,86.0
27,89.0,95.0
28,94.0,94.0
29,67.0,93.0
30,-50.0,88.0
31,66.0,85.0
32,93.0,89.0
33,97.0,92.0
34,92.0,97.0
35,84.0,93.0
36,90.0,89.0
37,94.0,94.0
38,93.0,90.0
39,90.0,92.0
40,95.0,93.0
41,91.0,90.0
42,99.0,92.0
43,93.0,97.0
44,-62.0,91.0
45,60.0,92.0
46,64.0,92.0
47,84.0,93.0
48,97.0,93.0
49,96.0,94.0
50,91.0,86.0
51,91.0,88.0
52,90.0,96.0
53,93.0,89.0
54,90.0,95.0
55,90.0,94.0
56,93.0,82.0
57,85.0,85.0
58,95.0,86.0
59,90.0,96.0
60,-47.0,99.0
61,91.0,94.0
62,96.0,91.0
63,92.0,87.0
64,-62.0,86.0
65,99.0,93.0
66,91.0,95.0
67,91.0,97.0
68,91.0,96.0
69,92.0,91.0
70,96.0,92.0
71,90.0,89.0
72,90.0,87.0
73,88.0,93.0
74,97.0,93.0
75,93.0,95.0
76,97.0,91.0
77,89.0,92.0
78,91.0,92.0
79,99.0,92.0
80,-43.0,94.0
81,51.0,90.0
82,91.0,84.0
83,76.0,94.0
84,88.0,90.0
85,84.0,94.0
86,90.0,91.0
87,96.0,87.0
88,93.0,90.0
89,89.0,87.0
90,87.0,88.0
91,88.0,89.0
92,96.0,98.0
93,87.0,94.0
94,-66.0,89.0
95,96.0,93.0
96,89.0,94.0
97,-60.0,91.0
98,98.0,95.0
99,91.0,91.0
100,96.0,84.0
101,97.0,86.0
102,96.0,90.0
103,89.0,88.0
104,91.0,92.0
105,85.0,92.0
106,85.0,91.0
107,89.0,90.0
108,94.0,94.0
109,91.0,93.0
110,94.0,88.0
111,85.0,86.0
112,94.0,98.0
113,-56.0,90.0
114,-46.0,94.0
