episode,opsdemo_reward,baseline_reward
0,89.0,97.0
1,99.0,87.0
2,90.0,96.0
3,94.0,93.0
4,83.0,91.0
5,92.0,92.0
6,92.0,88.0
7,99.0,93.0
8,94.0,93.0
9,95.0,93.0
10,91.0,89.0
11,93.0,93.0
12,90.0,98.0
13,61.0,81.0
14,66.0,93.0
15,92.0,90.0
16,94.0,94.0
17,92.0,99.0
18,89.0,87.0
19,81.0,91.0
20,90.0,97.0
21,94.0,92.0
22,85.0,92.0
23,92.0,85.0
24,85.0,94.0
25,94.0,85.0
26,90.0,86.0
27,92.0,95.0
28,92.0,94.0
29,82.0,93.0
30,97.0,88.0
31,90.0,85.0
32,91.0,89.0
33,93.0,92.0
34,76.0,97.0
35,64.0,93.0
36,78.0,89.0
37,87.0,94.0
38,82.0,90.0
39,89.0,92.0
40,87.0,93.0
41,96.0,90.0
42,92.0,92.0
43,94.0,97.0
44,96.0,91.0
45,89.0,92.0
46,93.0,92.0
47,58.0,93.0
48,99.0,93.0
49,94.0,94.0
50,55.0,86.0
51,81.0,88.0
52,67.0,96.0
53,92.0,89.0
54,94.0,95.0
55,95.0,94.0
56,93.0,82.0
57,86.0,85.0
58,90.0,86.0
59,93.0,96.0
60,94.0,99.0
61,84.0,94.0
62,92.0,91.0
63,92.0,87.0
64,84.0,86.0
65,91.0,93.0
66,82.0,95.0
67,-60.0,97.0
68,91.0,96.0
69,74.0,91.0
70,91.0,92.0
71,91.0,89.0
72,95.0,87.0
73,94.0,93.0
74,95.0,93.0
75,90.0,95.0
76,90.0,91.0
77,97.0,92.0
78,86.0,92.0
79,96.0,92.0
80,94.0,94.0
81,92.0,90.0
82,93.0,84.0
83,94.0,94.0
84,92.0,90.0
85,42.0,94.0
86,54.0,91.0
87,77.0,87.0
88,94.0,90.0
89,86.0,87.0
90,83.0,88.0
91,90.0,89.0
92,88.0,98.0
93,91.0,94.0
94,90.0,89.0
95,98.0,93.0
96,93.0,94.0
97,93.0,91.0
98,83.0,95.0
99,94.0,91.0
100,74.0,84.0
101,86.0,86.0
102,97.0,90.0
103,84.0,88.0
104,93.0,92.0
105,93.0,92.0
106,66.0,91.0
107,96.0,90.0
108,96.0,94.0
109,89.0,93.0
110,86.0,88.0
111,92.0,86.0
112,91.0,98.0
113,85.0,90.0
114,94.0,94.0
115,91.0,96.0
116,96.0,94.0
117,84.0,92.0
118,94.0,90.0
119,-57.0,85.0
120,-46.0,88.0
121,75.0,99.0
122,88.0,95.0
123,92.0,89.0
124,99.0,93.0
125,91.0,94.0
126,95.0,96.0
127,93.0,86.0
128,94.0,71.0
129,96.0,95.0
130,86.0,93.0
131,88.0,96.0
132,99.0,92.0
133,92.0,89.0
134,97.0,92.0
135,93.0,96.0
136,75.0,87.0
137,43.0,92.0
138,92.0,97.0
139,95.0,84.0
140,91.0,84.0
141,74.0,87.0
142,98.0,88.0
143,94.0,88.0
144,93.0,91.0
145,89.0,89.0
146,90.0,89.0
147,92.0,95.0
148,92.0,89.0
149,84.0,86.0
150,88.0,95.0
151,57.0,93.0
152,-56.0,92.0
153,-68.0,92.0
154,97.0,93.0
155,87.0,94.0
156,87.0,93.0
157,94.0,97.0
158,88.0,93.0
159,89.0,96.0
160,96.0,97.0
161,99.0,93.0
162,89.0,93.0
163,86.0,93.0
164,-46.0,82.0
165,94.0,93.0
166,95.0,92.0
167,98.0,88.0
168,92.0,96.0
169,96.0,97.0
170,93.0,96.0
171,76.0,96.0
172,95.0,94.0
173,94.0,88.0
174,85.0,94.0
175,89.0,89.0
176,89.0,85.0
177,95.0,89.0
178,93.0,95.0
179,92.0,87.0
180,87.0,84.0
181,94.0,88.0
182,85.0,91.0
183,96.0,93.0
184,-44.0,98.0
185,-50.0,91.0
186,94.0,96.0
187,-48.0,86.0
188,98.0,98.0
189,92.0,91.0
190,94.0,93.0
191,79.0,95.0
192,95.0,90.0
193,96.0,92.0
194,95.0,93.0
195,94.0,86.0
196,98.0,80.0
197,89.0,96.0
198,92.0,87.0
199,92.0,93.0
200,94.0,90.0
