reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,550,604,-54
active_collision,23,38,-15
entered_small_circle,0,5,-5
passive_intercept,1,2,-1
intercepted_in_big_circle,3,0,3
intercepted_before_small_circle,223,151,72
