ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
direct,553,0.005425,0.206148,-48.549285,113,2
attack,24,0.041667,0.208333,-41.935539,5,1
detour,223,1.0,0.152466,202.979833,0,189
