reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,534,586,-52
active_collision,9,24,-15
passive_intercept,1,2,-1
entered_small_circle,3,2,1
intercepted_in_big_circle,1,0,1
intercepted_before_small_circle,252,186,66
