reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,502,781,-279
entered_small_circle,8,19,-11
intercepted_in_big_circle,2,0,2
active_collision,26,0,26
intercepted_before_small_circle,262,0,262
