episode,global_step,episode_step,true_policy,new_assumed_policy
4,27,4,chase_x,chase_x
5,32,4,chase_x,chase_x
7,40,1,chase_x,chase_y
7,45,6,chase_x,chase_x
12,84,4,chase_x,chase_x
12,89,9,chase_x,chase_x
13,100,10,chase_y,chase_y
16,120,5,chase_y,chase_x
16,124,9,chase_y,chase_x
16,129,14,chase_y,chase_x
16,134,19,chase_y,chase_x
16,139,24,chase_y,chase_x
16,143,28,chase_y,chase_x
16,147,32,chase_y,chase_x
16,152,37,chase_y,chase_x
17,161,6,chase_y,chase_y
17,170,15,chase_y,chase_x
17,177,22,chase_y,chase_x
17,181,26,chase_y,chase_y
17,187,32,chase_y,chase_x
17,192,37,chase_y,chase_x
18,197,2,chase_y,chase_y
18,204,9,chase_x,chase_x
20,221,4,chase_x,chase_x
22,234,8,chase_x,chase_x
24,242,1,chase_x,chase_x
25,257,7,chase_x,chase_x
26,262,3,chase_x,chase_x
27,280,9,chase_x,chase_x
28,285,5,chase_x,chase_x
28,289,9,chase_x,chase_x
30,303,6,chase_y,chase_x
30,308,11,chase_y,chase_x
30,314,17,chase_y,chase_x
30,322,25,chase_y,chase_x
30,327,30,chase_y,chase_x
30,332,35,chase_y,chase_y
31,341,4,chase_y,chase_x
31,345,8,chase_y,chase_x
31,352,15,chase_y,chase_x
31,356,19,chase_y,chase_y
31,361,24,chase_y,chase_x
32,365,4,chase_y,chase_y
33,374,6,chase_y,chase_x
33,378,10,chase_y,chase_x
34,382,4,chase_y,chase_y
35,393,7,chase_y,chase_x
35,401,15,chase_x,chase_y
35,405,19,chase_x,chase_x
36,410,4,chase_x,chase_x
36,417,11,chase_x,chase_y
36,421,15,chase_x,chase_x
36,426,20,chase_x,chase_x
38,437,5,chase_x,chase_x
38,444,12,chase_x,chase_x
38,448,16,chase_x,chase_x
39,456,8,chase_x,chase_x
41,470,2,chase_x,chase_x
42,475,4,chase_x,chase_x
43,479,2,chase_x,chase_x
44,490,10,chase_x,chase_x
46,506,6,chase_y,chase_x
46,510,10,chase_y,chase_x
46,515,15,chase_y,chase_y
48,535,10,chase_y,chase_x
48,541,16,chase_y,chase_x
49,545,3,chase_y,chase_x
49,550,8,chase_y,chase_x
49,554,12,chase_y,chase_x
49,560,18,chase_y,chase_y
49,564,22,chase_y,chase_x
49,568,26,chase_y,chase_x
49,573,31,chase_y,chase_y
49,579,37,chase_y,chase_x
50,584,2,chase_y,chase_y
51,592,2,chase_y,chase_x
51,598,8,chase_y,chase_x
53,615,2,chase_x,chase_x
53,622,9,chase_x,chase_x
54,629,7,chase_x,chase_x
56,640,6,chase_x,chase_x
58,655,7,chase_x,chase_x
59,661,5,chase_x,chase_x
60,666,3,chase_x,chase_x
60,671,8,chase_x,chase_x
61,678,2,chase_x,chase_x
61,686,10,chase_x,chase_y
62,692,6,chase_x,chase_x
63,701,4,chase_y,chase_y
64,711,2,chase_y,chase_x
64,715,6,chase_y,chase_x
64,721,12,chase_y,chase_x
64,726,17,chase_y,chase_x
64,734,25,chase_y,chase_x
64,742,33,chase_y,chase_x
64,746,37,chase_y,chase_x
65,751,2,chase_y,chase_y
67,759,4,chase_y,chase_x
67,766,11,chase_y,chase_x
68,771,2,chase_y,chase_x
70,784,2,chase_y,chase_y
70,792,10,chase_y,chase_x
70,797,15,chase_y,chase_x
70,806,24,chase_x,chase_x
73,824,2,chase_x,chase_x
73,828,6,chase_x,chase_x
74,834,3,chase_x,chase_x
76,852,4,chase_x,chase_x
79,870,7,chase_x,chase_x
79,874,11,chase_x,chase_x
80,885,11,chase_x,chase_x
81,898,10,chase_x,chase_x
82,904,3,chase_y,chase_x
82,908,7,chase_y,chase_y
82,915,14,chase_y,chase_x
83,919,4,chase_y,chase_y
83,929,14,chase_y,chase_x
83,933,18,chase_y,chase_x
83,939,24,chase_y,chase_y
83,943,28,chase_y,chase_x
83,947,32,chase_y,chase_x
83,951,36,chase_y,chase_x
