ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,20,0.0,0.0,3.573093,0,0
direct,525,0.005714,0.001905,6.079976,1,3
detour,255,1.0,0.011765,205.610956,0,252
