ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,56,0.017857,0.25,-55.102555,14,1
direct,595,0.001681,0.211765,-43.964665,126,1
detour,149,0.959732,0.322148,126.281278,2,97
