reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,508,791,-283
entered_small_circle,9,9,0
intercepted_in_big_circle,3,0,3
active_collision,27,0,27
intercepted_before_small_circle,253,0,253
