episode,global_step,from_policy,to_policy,true_policy,normalized_error
3,37,direct,direct,direct,0.410220742225647
4,70,direct,detour,direct,0.2181771844625473
5,99,detour,attack,direct,0.40315741300582886
8,121,attack,direct,direct,0.6386587023735046
9,149,direct,attack,direct,0.29592281579971313
10,180,attack,detour,detour,0.3126264810562134
10,209,detour,detour,detour,0.255364328622818
12,244,detour,direct,detour,1.1082208156585693
12,274,direct,attack,detour,0.44481611251831055
13,316,attack,attack,detour,0.5021998286247253
13,334,attack,detour,attack,0.6082251667976379
13,355,detour,detour,attack,0.25900474190711975
13,386,detour,detour,attack,0.34834185242652893
13,411,detour,direct,attack,0.677046000957489
13,429,direct,detour,attack,0.9049162864685059
13,457,detour,attack,attack,0.3619841933250427
14,495,attack,detour,direct,0.20339135825634003
15,513,detour,direct,direct,0.8190672397613525
17,544,direct,direct,direct,0.45258253812789917
18,563,direct,attack,direct,0.7145977020263672
19,591,attack,attack,direct,0.2539190948009491
21,626,attack,attack,direct,0.22311799228191376
22,653,attack,direct,detour,0.47877225279808044
22,683,direct,direct,detour,0.27624717354774475
22,708,direct,direct,detour,0.1727420687675476
22,720,direct,detour,detour,0.6821900606155396
22,726,detour,attack,detour,1.3903177976608276
22,748,attack,attack,detour,0.546043872833252
22,772,attack,attack,detour,0.3832434415817261
22,786,attack,detour,detour,0.37725406885147095
22,792,detour,attack,detour,1.5385792255401611
22,798,attack,direct,detour,0.8165431022644043
22,816,direct,direct,attack,0.13034211099147797
22,845,direct,direct,attack,0.27008751034736633
23,873,direct,detour,attack,0.6985536217689514
23,914,detour,detour,attack,0.5892922878265381
23,940,detour,detour,attack,0.7464706301689148
25,973,detour,attack,direct,0.7963487505912781
25,995,attack,attack,direct,0.18249213695526123
26,1010,attack,detour,direct,0.8017858862876892
28,1036,detour,attack,direct,0.4640345573425293
29,1072,attack,detour,direct,0.26800134778022766
31,1105,detour,detour,direct,0.5335233211517334
32,1139,detour,detour,detour,0.20236729085445404
33,1168,detour,detour,detour,0.15015989542007446
34,1195,detour,attack,detour,0.5355574488639832
34,1236,attack,attack,detour,0.12549233436584473
35,1278,attack,attack,detour,0.21722231805324554
35,1318,attack,attack,attack,0.3204600512981415
35,1341,attack,attack,attack,0.3935772180557251
35,1367,attack,attack,attack,0.596781313419342
35,1382,attack,direct,attack,0.739403486251831
36,1398,direct,detour,attack,0.44393521547317505
36,1427,detour,attack,attack,0.2652513384819031
37,1443,attack,direct,direct,1.3504347801208496
39,1459,direct,attack,direct,0.6303962469100952
40,1500,attack,attack,direct,0.2639925479888916
42,1539,attack,direct,direct,0.7943083643913269
43,1566,direct,direct,direct,0.30208030343055725
45,1591,direct,direct,direct,0.30557847023010254
46,1617,direct,direct,detour,0.3595409691333771
47,1665,direct,direct,detour,0.6851320266723633
47,1704,direct,direct,detour,0.32511788606643677
47,1732,direct,detour,detour,1.3307268619537354
47,1740,detour,detour,detour,0.54923015832901
47,1750,detour,detour,detour,0.18986615538597107
47,1760,detour,direct,attack,1.5042515993118286
47,1776,direct,direct,attack,0.45442888140678406
48,1803,direct,direct,attack,0.37861329317092896
48,1829,direct,direct,attack,0.3933565020561218
49,1861,direct,attack,attack,1.0108163356781006
49,1901,attack,attack,attack,0.283368319272995
50,1929,attack,attack,direct,0.4230279326438904
51,1957,attack,attack,direct,0.8348551988601685
53,1979,attack,attack,direct,0.5693156123161316
54,2016,attack,attack,direct,0.4469282627105713
57,2059,attack,attack,direct,0.6025920510292053
58,2080,attack,attack,detour,0.6505345106124878
58,2105,attack,attack,detour,0.3880152106285095
59,2146,attack,attack,detour,0.38029199838638306
60,2203,attack,detour,detour,0.8208163976669312
60,2241,detour,attack,attack,0.6581358313560486
60,2270,attack,attack,attack,0.25392991304397583
60,2293,attack,attack,attack,0.22776633501052856
60,2330,attack,attack,attack,0.5633583068847656
61,2354,attack,attack,attack,1.360396146774292
61,2397,attack,attack,attack,0.19122248888015747
64,2434,attack,detour,direct,0.35424038767814636
65,2452,detour,attack,direct,0.21393579244613647
67,2489,attack,detour,direct,0.5657860040664673
68,2509,detour,direct,direct,0.627845048904419
69,2543,direct,direct,direct,0.2638193964958191
70,2575,direct,direct,detour,0.30961930751800537
70,2607,direct,direct,detour,0.19568480551242828
70,2633,direct,direct,detour,0.4752195179462433
70,2656,direct,attack,detour,0.9779974222183228
70,2663,attack,detour,detour,1.6037368774414062
70,2680,detour,direct,detour,0.6857686042785645
70,2691,direct,attack,detour,0.9096701741218567
70,2701,attack,direct,detour,1.7247951030731201
