episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,predator_a_action,predator_b_action
15,128,5,-1.0,-5.0,chase_y,2,0
15,129,6,-1.0,-6.0,chase_y,4,0
15,130,7,-1.0,-7.0,chase_y,2,3
15,131,8,-1.0,-8.0,chase_y,4,0
15,132,9,-1.0,-9.0,chase_y,2,3
15,133,10,99.0,90.0,chase_y,2,0
16,134,1,-1.0,-1.0,chase_y,1,1
16,135,2,-1.0,-2.0,chase_y,1,1
16,136,3,-1.0,-3.0,chase_y,1,1
16,137,4,-1.0,-4.0,chase_y,1,3
16,138,5,-1.0,-5.0,chase_y,4,3
16,139,6,99.0,94.0,chase_y,4,4
17,140,1,99.0,99.0,chase_y,3,2
18,141,1,-1.0,-1.0,chase_y,1,3
18,142,2,-1.0,-2.0,chase_y,1,3
18,143,3,-1.0,-3.0,chase_y,1,3
18,144,4,-1.0,-4.0,chase_y,1,3
18,145,5,-1.0,-5.0,chase_y,1,3
18,146,6,-1.0,-6.0,chase_y,1,3
18,147,7,-1.0,-7.0,chase_y,1,3
18,148,8,-1.0,-8.0,chase_y,4,3
18,149,9,-1.0,-9.0,chase_y,4,0
18,150,10,-1.0,-10.0,chase_y,2,0
18,151,11,-1.0,-11.0,chase_y,1,0
18,152,12,-1.0,-12.0,chase_y,4,2
18,153,13,99.0,87.0,chase_y,1,0
19,154,1,-1.0,-1.0,chase_y,1,1
19,155,2,-1.0,-2.0,chase_y,1,1
19,156,3,-1.0,-3.0,chase_y,4,1
19,157,4,-1.0,-4.0,chase_y,4,1
19,158,5,-1.0,-5.0,chase_y,4,1
19,159,6,-1.0,-6.0,chase_y,4,4
19,160,7,-1.0,-7.0,chase_y,2,4
19,161,8,-1.0,-8.0,chase_y,2,1
19,162,9,99.0,91.0,chase_y,2,1
20,163,1,-1.0,-1.0,chase_y,2,2
20,164,2,-1.0,-2.0,chase_y,2,2
20,165,3,99.0,97.0,chase_y,2,2
21,166,1,-1.0,-1.0,chase_y,3,3
21,167,2,-1.0,-2.0,chase_y,3,3
21,168,3,-1.0,-3.0,chase_y,3,3
21,169,4,-1.0,-4.0,chase_y,3,3
21,170,5,-1.0,-5.0,chase_y,2,1
21,171,6,-1.0,-6.0,chase_y,2,3
21,172,7,-1.0,-7.0,chase_y,3,3
21,173,8,99.0,92.0,chase_y,2,3
22,174,1,-1.0,-1.0,chase_y,3,3
22,175,2,-1.0,-2.0,chase_y,3,3
22,176,3,-1.0,-3.0,chase_y,3,3
22,177,4,-1.0,-4.0,chase_y,3,3
22,178,5,-1.0,-5.0,chase_y,2,3
22,179,6,-1.0,-6.0,chase_y,3,3
22,180,7,-1.0,-7.0,chase_y,3,3
22,181,8,99.0,92.0,chase_y,2,0
23,182,1,-1.0,-1.0,chase_y,1,3
23,183,2,-1.0,-2.0,chase_y,1,2
23,184,3,-1.0,-3.0,chase_y,1,2
23,185,4,-1.0,-4.0,chase_y,1,3
23,186,5,-1.0,-5.0,chase_y,3,3
23,187,6,-1.0,-6.0,chase_y,3,3
23,188,7,-1.0,-7.0,chase_y,1,1
23,189,8,-1.0,-8.0,chase_y,4,0
23,190,9,-1.0,-9.0,chase_y,2,0
23,191,10,-1.0,-10.0,chase_y,3,0
23,192,11,-1.0,-11.0,chase_y,2,1
23,193,12,-1.0,-12.0,chase_y,2,2
23,194,13,-1.0,-13.0,chase_y,2,4
23,195,14,-1.0,-14.0,chase_y,3,1
23,196,15,99.0,85.0,chase_y,2,4
24,197,1,-1.0,-1.0,chase_y,2,2
24,198,2,-1.0,-2.0,chase_y,2,2
24,199,3,-1.0,-3.0,chase_y,4,3
24,200,4,-1.0,-4.0,chase_x,4,2
24,201,5,-1.0,-5.0,chase_x,4,2
24,202,6,99.0,94.0,chase_x,4,2
25,203,1,-1.0,-1.0,chase_x,4,3
25,204,2,-1.0,-2.0,chase_x,3,3
25,205,3,-1.0,-3.0,chase_x,1,1
25,206,4,-1.0,-4.0,chase_x,4,1
25,207,5,-1.0,-5.0,chase_x,2,3
25,208,6,-1.0,-6.0,chase_x,4,1
25,209,7,-1.0,-7.0,chase_x,4,3
25,210,8,-1.0,-8.0,chase_x,4,3
25,211,9,-1.0,-9.0,chase_x,4,1
25,212,10,-1.0,-10.0,chase_x,2,1
25,213,11,-1.0,-11.0,chase_x,2,1
25,214,12,-1.0,-12.0,chase_x,4,1
25,215,13,-1.0,-13.0,chase_x,2,3
25,216,14,-1.0,-14.0,chase_x,2,3
25,217,15,99.0,85.0,chase_x,4,4
26,218,1,-1.0,-1.0,chase_x,2,2
26,219,2,-1.0,-2.0,chase_x,2,2
26,220,3,-1.0,-3.0,chase_x,2,2
26,221,4,-1.0,-4.0,chase_x,2,2
26,222,5,-1.0,-5.0,chase_x,3,2
26,223,6,-1.0,-6.0,chase_x,2,4
26,224,7,-1.0,-7.0,chase_x,3,2
26,225,8,-1.0,-8.0,chase_x,1,2
26,226,9,-1.0,-9.0,chase_x,1,2
26,227,10,-1.0,-10.0,chase_x,1,0
26,228,11,-1.0,-11.0,chase_x,1,2
26,229,12,-1.0,-12.0,chase_x,1,4
26,230,13,-1.0,-13.0,chase_x,3,3
26,231,14,99.0,86.0,chase_x,4,4
27,232,1,-1.0,-1.0,chase_x,4,2
27,233,2,-1.0,-2.0,chase_x,4,2
27,234,3,-1.0,-3.0,chase_x,4,3
27,235,4,-1.0,-4.0,chase_x,4,0
27,236,5,99.0,95.0,chase_x,4,4
28,237,1,-1.0,-1.0,chase_x,4,4
28,238,2,-1.0,-2.0,chase_x,4,4
28,239,3,-1.0,-3.0,chase_x,2,4
28,240,4,-1.0,-4.0,chase_x,2,4
28,241,5,-1.0,-5.0,chase_x,2,3
28,242,6,99.0,94.0,chase_x,2,2
29,243,1,-1.0,-1.0,chase_x,2,4
29,244,2,-1.0,-2.0,chase_x,2,4
29,245,3,-1.0,-3.0,chase_x,2,2
29,246,4,-1.0,-4.0,chase_x,2,0
29,247,5,-1.0,-5.0,chase_x,2,0
29,248,6,-1.0,-6.0,chase_x,2,4
29,249,7,99.0,93.0,chase_x,3,0
30,250,1,-1.0,-1.0,chase_x,3,3
30,251,2,-1.0,-2.0,chase_x,1,3
30,252,3,-1.0,-3.0,chase_x,1,3
30,253,4,-1.0,-4.0,chase_x,2,3
30,254,5,-1.0,-5.0,chase_x,4,3
30,255,6,-1.0,-6.0,chase_x,4,3
30,256,7,-1.0,-7.0,chase_x,4,1
30,257,8,-1.0,-8.0,chase_x,4,1
30,258,9,-1.0,-9.0,chase_x,3,1
30,259,10,-1.0,-10.0,chase_x,2,2
30,260,11,-1.0,-11.0,chase_x,4,0
30,261,12,99.0,88.0,chase_x,1,1
31,262,1,-1.0,-1.0,chase_x,2,2
31,263,2,-1.0,-2.0,chase_x,3,3
31,264,3,-1.0,-3.0,chase_x,2,2
31,265,4,-1.0,-4.0,chase_x,3,2
31,266,5,-1.0,-5.0,chase_x,3,3
31,267,6,-1.0,-6.0,chase_x,3,3
31,268,7,-1.0,-7.0,chase_x,3,1
31,269,8,-1.0,-8.0,chase_x,2,3
31,270,9,-1.0,-9.0,chase_x,2,2
31,271,10,-1.0,-10.0,chase_x,2,2
31,272,11,-1.0,-11.0,chase_x,2,2
31,273,12,-1.0,-12.0,chase_x,2,2
31,274,13,-1.0,-13.0,chase_x,3,2
31,275,14,-1.0,-14.0,chase_x,2,4
31,276,15,99.0,85.0,chase_x,1,0
32,277,1,-1.0,-1.0,chase_x,1,4
32,278,2,-1.0,-2.0,chase_x,4,2
32,279,3,-1.0,-3.0,chase_x,1,2
32,280,4,-1.0,-4.0,chase_x,1,1
32,281,5,-1.0,-5.0,chase_x,1,1
32,282,6,-1.0,-6.0,chase_x,1,4
32,283,7,-1.0,-7.0,chase_x,4,2
32,284,8,-1.0,-8.0,chase_x,4,2
32,285,9,-1.0,-9.0,chase_x,1,4
32,286,10,-1.0,-10.0,chase_x,1,0
32,287,11,99.0,89.0,chase_x,1,1
33,288,1,-1.0,-1.0,chase_x,4,2
33,289,2,-1.0,-2.0,chase_x,4,2
33,290,3,-1.0,-3.0,chase_x,4,2
33,291,4,-1.0,-4.0,chase_x,4,2
33,292,5,-1.0,-5.0,chase_x,4,2
33,293,6,-1.0,-6.0,chase_x,1,4
33,294,7,-1.0,-7.0,chase_x,1,1
33,295,8,99.0,92.0,chase_x,1,1
34,296,1,-1.0,-1.0,chase_x,4,4
34,297,2,-1.0,-2.0,chase_x,4,4
34,298,3,99.0,97.0,chase_x,4,4
35,299,1,-1.0,-1.0,chase_x,3,3
35,300,2,-1.0,-2.0,chase_y,3,3
35,301,3,-1.0,-3.0,chase_y,3,3
35,302,4,-1.0,-4.0,chase_y,3,3
35,303,5,-1.0,-5.0,chase_y,3,3
35,304,6,-1.0,-6.0,chase_y,2,2
35,305,7,99.0,93.0,chase_y,1,4
36,306,1,-1.0,-1.0,chase_y,1,1
36,307,2,-1.0,-2.0,chase_y,3,4
36,308,3,-1.0,-3.0,chase_y,3,4
36,309,4,-1.0,-4.0,chase_y,3,1
36,310,5,-1.0,-5.0,chase_y,3,2
36,311,6,-1.0,-6.0,chase_y,1,0
36,312,7,-1.0,-7.0,chase_y,3,3
36,313,8,-1.0,-8.0,chase_y,3,3
36,314,9,-1.0,-9.0,chase_y,4,2
36,315,10,-1.0,-10.0,chase_y,1,4
36,316,11,99.0,89.0,chase_y,1,4
37,317,1,-1.0,-1.0,chase_y,3,3
37,318,2,-1.0,-2.0,chase_y,4,3
37,319,3,-1.0,-3.0,chase_y,1,3
37,320,4,-1.0,-4.0,chase_y,4,2
37,321,5,-1.0,-5.0,chase_y,3,3
37,322,6,99.0,94.0,chase_y,2,2
38,323,1,-1.0,-1.0,chase_y,4,4
38,324,2,-1.0,-2.0,chase_y,2,2
38,325,3,-1.0,-3.0,chase_y,2,2
38,326,4,-1.0,-4.0,chase_y,4,4
38,327,5,-1.0,-5.0,chase_y,3,2
38,328,6,-1.0,-6.0,chase_y,4,2
38,329,7,-1.0,-7.0,chase_y,1,4
38,330,8,-1.0,-8.0,chase_y,3,2
38,331,9,-1.0,-9.0,chase_y,1,4
38,332,10,99.0,90.0,chase_y,3,0
39,333,1,-1.0,-1.0,chase_y,1,1
39,334,2,-1.0,-2.0,chase_y,1,1
39,335,3,-1.0,-3.0,chase_y,1,1
39,336,4,-1.0,-4.0,chase_y,1,1
39,337,5,-1.0,-5.0,chase_y,1,1
39,338,6,-1.0,-6.0,chase_y,4,1
39,339,7,-1.0,-7.0,chase_y,4,0
39,340,8,99.0,92.0,chase_y,1,0
40,341,1,-1.0,-1.0,chase_y,2,3
40,342,2,-1.0,-2.0,chase_y,2,3
40,343,3,-1.0,-3.0,chase_y,2,3
40,344,4,-1.0,-4.0,chase_y,2,2
40,345,5,-1.0,-5.0,chase_y,2,3
40,346,6,-1.0,-6.0,chase_y,2,2
40,347,7,99.0,93.0,chase_y,4,2
41,348,1,-1.0,-1.0,chase_y,3,3
41,349,2,-1.0,-2.0,chase_y,2,3
41,350,3,-1.0,-3.0,chase_y,2,0
41,351,4,-1.0,-4.0,chase_y,2,2
