ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,22,0.045455,0.0,-42.549596,0,1
direct,514,0.0,0.0,8.503993,0,0
detour,264,1.0,0.0,247.971529,0,264
