outcome_pair,episodes,mean_reward_gap,median_reward_gap,mean_ops_reward,mean_baseline_reward,mean_ops_len,mean_baseline_len
both_lose,535,5.942125,0.305672,-143.743195,-149.685319,41.418692,50.553271
ops_only_win,265,248.00154,238.257296,97.244961,-150.756579,38.437736,57.558491
