episode,global_step,episode_step,true_policy,new_assumed_policy
14,104,5,chase_y,chase_y
28,204,8,chase_x,chase_x
43,309,10,chase_y,chase_y
51,404,13,chase_x,chase_x
62,505,10,chase_y,chase_y
76,604,8,chase_x,chase_x
89,705,10,chase_y,chase_y
98,806,12,chase_x,chase_x
108,905,16,chase_y,chase_y
120,1005,5,chase_x,chase_x
130,1105,6,chase_y,chase_y
142,1209,11,chase_x,chase_x
153,1306,13,chase_y,chase_y
167,1404,9,chase_x,chase_x
180,1504,7,chase_y,chase_y
191,1607,17,chase_x,chase_x
201,1705,4,chase_y,chase_y
212,1806,9,chase_x,chase_x
223,1904,13,chase_y,chase_y
236,2005,5,chase_x,chase_x
246,2104,9,chase_y,chase_y
259,2205,8,chase_x,chase_x
273,2304,10,chase_y,chase_y
288,2412,10,chase_x,chase_x
300,2504,9,chase_y,chase_y
311,2607,17,chase_x,chase_x
324,2707,4,chase_y,chase_y
334,2804,12,chase_x,chase_x
348,2911,10,chase_y,chase_y
359,3005,13,chase_x,chase_x
373,3116,16,chase_y,chase_y
384,3206,8,chase_x,chase_x
395,3304,5,chase_y,chase_y
405,3406,19,chase_x,chase_x
417,3504,9,chase_y,chase_y
427,3604,11,chase_x,chase_x
438,3705,6,chase_y,chase_y
450,3804,8,chase_x,chase_x
464,3904,7,chase_y,chase_y
476,4004,5,chase_x,chase_x
491,4106,4,chase_y,chase_y
504,4211,3,chase_x,chase_x
513,4304,7,chase_y,chase_y
525,4404,11,chase_x,chase_x
538,4509,10,chase_y,chase_y
549,4605,13,chase_x,chase_x
563,4704,14,chase_y,chase_y
576,4804,9,chase_x,chase_x
588,4909,4,chase_y,chase_y
598,5005,7,chase_x,chase_x
610,5103,5,chase_y,chase_y
620,5205,23,chase_x,chase_x
633,5311,11,chase_y,chase_y
647,5407,2,chase_x,chase_x
656,5508,14,chase_y,chase_y
669,5604,10,chase_x,chase_x
680,5709,11,chase_y,chase_y
691,5805,11,chase_x,chase_x
703,5906,13,chase_y,chase_y
717,6008,10,chase_x,chase_x
731,6104,10,chase_y,chase_y
743,6204,13,chase_x,chase_x
755,6306,8,chase_y,chase_y
770,6407,4,chase_x,chase_x
780,6504,16,chase_y,chase_y
792,6604,8,chase_x,chase_x
805,6704,7,chase_y,chase_y
816,6808,9,chase_x,chase_x
825,6909,10,chase_y,chase_y
837,7008,9,chase_x,chase_x
848,7106,10,chase_y,chase_y
859,7204,9,chase_x,chase_x
870,7304,9,chase_y,chase_y
883,7404,9,chase_x,chase_x
897,7503,4,chase_y,chase_y
909,7604,10,chase_x,chase_x
923,7706,5,chase_y,chase_y
936,7804,8,chase_x,chase_x
946,7904,11,chase_y,chase_y
958,8007,4,chase_x,chase_x
970,8104,2,chase_y,chase_y
985,8209,10,chase_x,chase_x
996,8304,6,chase_y,chase_y
