reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,528,742,-214
active_collision,12,57,-45
intercepted_in_big_circle,1,0,1
entered_small_circle,5,1,4
intercepted_before_small_circle,254,0,254
