ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,17,0.0,0.0,-37.121105,0,0
direct,541,0.0,0.0,6.405693,0,0
detour,242,1.0,0.0,246.954974,0,242
