ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,16,0.0,0.3125,-135.895959,5,0
direct,513,0.007797,0.179337,-37.36477,91,3
detour,271,1.0,0.258303,166.558302,0,201
