reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,510,776,-266
entered_small_circle,10,24,-14
intercepted_in_big_circle,3,0,3
active_collision,13,0,13
intercepted_before_small_circle,264,0,264
