episode,global_step,episode_step,true_policy,new_assumed_policy
14,106,7,chase_y,chase_y
26,208,9,chase_x,chase_x
40,311,11,chase_y,chase_y
49,406,13,chase_x,chase_x
60,508,9,chase_y,chase_y
73,607,11,chase_x,chase_x
83,707,14,chase_y,chase_y
95,806,10,chase_x,chase_x
107,908,9,chase_y,chase_y
120,1012,9,chase_x,chase_x
132,1110,10,chase_y,chase_y
144,1209,11,chase_x,chase_x
155,1307,17,chase_y,chase_y
168,1409,10,chase_x,chase_x
180,1516,17,chase_y,chase_y
191,1609,12,chase_x,chase_x
201,1707,6,chase_y,chase_y
212,1808,11,chase_x,chase_x
226,1907,11,chase_y,chase_y
241,2007,14,chase_x,chase_x
253,2107,9,chase_y,chase_y
266,2206,12,chase_x,chase_x
280,2306,13,chase_y,chase_y
291,2406,16,chase_x,chase_x
302,2507,10,chase_y,chase_y
314,2614,15,chase_x,chase_x
325,2710,11,chase_y,chase_y
335,2806,12,chase_x,chase_x
346,2913,14,chase_y,chase_y
356,3009,19,chase_x,chase_x
367,3106,7,chase_y,chase_y
381,3210,8,chase_x,chase_x
392,3310,11,chase_y,chase_y
403,3408,17,chase_x,chase_x
415,3508,14,chase_y,chase_y
428,3606,2,chase_x,chase_x
439,3711,11,chase_y,chase_y
449,3808,16,chase_x,chase_x
465,3913,8,chase_y,chase_y
476,4009,10,chase_x,chase_x
486,4106,18,chase_y,chase_y
497,4209,12,chase_x,chase_x
508,4311,8,chase_y,chase_y
521,4410,8,chase_x,chase_x
533,4513,14,chase_y,chase_y
544,4607,14,chase_x,chase_x
559,4710,14,chase_y,chase_y
571,4808,11,chase_x,chase_x
585,4906,12,chase_y,chase_y
596,5006,10,chase_x,chase_x
607,5108,10,chase_y,chase_y
618,5206,7,chase_x,chase_x
629,5309,13,chase_y,chase_y
640,5406,10,chase_x,chase_x
654,5508,17,chase_y,chase_y
666,5608,13,chase_x,chase_x
677,5708,9,chase_y,chase_y
689,5815,7,chase_x,chase_x
697,5907,20,chase_y,chase_y
709,6008,17,chase_x,chase_x
720,6107,18,chase_y,chase_y
731,6207,13,chase_x,chase_x
744,6306,18,chase_y,chase_y
758,6407,12,chase_x,chase_x
771,6512,2,chase_y,chase_y
787,6612,5,chase_x,chase_x
798,6709,14,chase_y,chase_y
814,6813,9,chase_x,chase_x
826,6913,1,chase_y,chase_y
838,7007,6,chase_x,chase_x
850,7108,12,chase_y,chase_y
863,7206,10,chase_x,chase_x
874,7307,14,chase_y,chase_y
885,7408,3,chase_x,chase_x
897,7510,6,chase_y,chase_y
907,7607,17,chase_x,chase_x
920,7709,2,chase_y,chase_y
932,7806,11,chase_x,chase_x
945,7908,15,chase_y,chase_y
957,8007,11,chase_x,chase_x
967,8114,5,chase_y,chase_y
978,8210,11,chase_x,chase_x
989,8305,12,chase_y,chase_y
