ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,28,0.0,0.0,-112.228133,0,0
direct,508,0.003937,0.0,8.565454,0,2
detour,264,1.0,0.0,226.95714,0,264
