episode,global_step,episode_step,reward,episode_reward_so_far,intruder_policy,response_policy,response_policy_correct,winner,reason,collision,intruder_distance,agent_distance,interceptor_action_x,interceptor_action_y
0,1,1,-0.19545960187911987,-0.19545960187911987,direct,direct,True,,running,False,1.2566750049591064,1.241466760635376,0.02199999988079071,0.02199999988079071
0,2,2,-0.19289540410041808,-0.388355005979538,direct,direct,True,,running,False,1.2386749982833862,1.224145770072937,0.02199999988079071,-0.02199999988079071
0,3,3,-0.19005959987640383,-0.5784146058559418,direct,direct,True,,running,False,1.220674991607666,1.2054667472839355,-0.02199999988079071,0.02199999988079071
0,4,4,-0.18749652266502384,-0.7659111285209657,direct,direct,True,,running,False,1.2026749849319458,1.1881513595581055,0.02199999988079071,-0.02199999988079071
0,5,5,-0.18919353246688844,-0.9551046609878541,direct,direct,True,,running,False,1.1846749782562256,1.1921364068984985,-0.02199999988079071,-0.02199999988079071
0,6,6,-0.18671194672584537,-1.1418166077136995,direct,direct,True,,running,False,1.1666749715805054,1.175228476524353,0.02199999988079071,-0.02199999988079071
0,7,7,-0.18379465103149417,-1.3256112587451936,direct,direct,True,,running,False,1.1486749649047852,1.156141996383667,-0.02199999988079071,0.02199999988079071
0,8,8,-0.1813168561458588,-1.5069281148910525,direct,direct,True,,running,False,1.130674958229065,1.13925302028656,0.02199999988079071,-0.02199999988079071
0,9,9,-0.17892901659011842,-1.685857131481171,direct,direct,True,,running,False,1.1126749515533447,1.1228138208389282,0.02199999988079071,-0.02199999988079071
0,10,10,-0.17184988617897037,-1.8577070176601413,direct,direct,True,,running,False,1.0946749448776245,1.0829181671142578,0.02199999988079071,0.02199999988079071
0,11,11,-0.16956988334655765,-2.027276901006699,direct,direct,True,,running,False,1.0766749382019043,1.0670181512832642,0.02199999988079071,-0.02199999988079071
0,12,12,-0.17125807166099552,-2.198534972667695,direct,direct,True,,running,False,1.058674931526184,1.0709590911865234,-0.02199999988079071,-0.02199999988079071
0,13,13,-0.16815466642379764,-2.3666896390914927,direct,direct,True,,running,False,1.0406749248504639,1.050942063331604,-0.02199999988079071,0.02199999988079071
0,14,14,-0.1610779678821564,-2.527767606973649,direct,direct,True,,running,False,1.0226749181747437,1.0110585689544678,0.02199999988079071,0.02199999988079071
0,15,15,-0.15400312900543214,-2.681770735979081,direct,direct,True,,running,False,1.0046749114990234,0.9711843729019165,0.02199999988079071,0.02199999988079071
0,16,16,-100.0,-102.68177073597909,direct,direct,True,intruder,entered_big_circle,False,0.9866749048233032,0.9313206672668457,0.02199999988079071,0.02199999988079071
1,17,1,-0.21761724114418035,-0.21761724114418035,direct,direct,True,,running,False,1.4496949911117554,1.4005099534988403,0.02199999988079071,0.02199999988079071
1,18,2,-0.21926435589790344,-0.4368815970420838,direct,direct,True,,running,False,1.4316948652267456,1.4042454957962036,-0.02199999988079071,-0.02199999988079071
1,19,3,-0.21592131614685062,-0.6528029131889344,direct,direct,True,,running,False,1.4136948585510254,1.3830302953720093,-0.02199999988079071,0.02199999988079071
1,20,4,-0.20886436462402344,-0.8616672778129578,direct,direct,True,,running,False,1.3956947326660156,1.343245506286621,0.02199999988079071,0.02199999988079071
1,21,5,-0.21052141547203065,-1.0721886932849884,direct,direct,True,,running,False,1.3776947259902954,1.347030758857727,-0.02199999988079071,-0.02199999988079071
1,22,6,-0.2072492337226868,-1.2794379270076752,direct,direct,True,,running,False,1.3596947193145752,1.3261698484420776,-0.02199999988079071,0.02199999988079071
1,23,7,-0.20405158758163455,-1.4834895145893099,direct,direct,True,,running,False,1.3416945934295654,1.305681586265564,-0.02199999988079071,0.02199999988079071
1,24,8,-0.20573066830635073,-1.6892201828956606,direct,direct,True,,running,False,1.3236945867538452,1.3095769882202148,-0.02199999988079071,-0.02199999988079071
1,25,9,-0.20262151718139648,-1.891841700077057,direct,direct,True,,running,False,1.305694580078125,1.2895312309265137,-0.02199999988079071,0.02199999988079071
1,26,10,-0.19959431648254394,-2.091436016559601,direct,direct,True,,running,False,1.2876944541931152,1.2698951959609985,-0.02199999988079071,0.02199999988079071
1,27,11,-0.2012955939769745,-2.292731610536576,direct,direct,True,,running,False,1.269694447517395,1.2739015817642212,-0.02199999988079071,-0.02199999988079071
1,28,12,-0.19892616033554078,-2.4916577708721164,direct,direct,True,,running,False,1.2516944408416748,1.2575544118881226,0.02199999988079071,-0.02199999988079071
