episode,opsdemo_reward,baseline_reward
0,89.0,97.0
1,99.0,87.0
2,90.0,96.0
3,94.0,93.0
4,83.0,91.0
5,92.0,92.0
6,92.0,88.0
7,99.0,93.0
8,94.0,93.0
9,95.0,93.0
10,91.0,89.0
11,93.0,93.0
12,90.0,98.0
13,-51.0,81.0
14,-53.0,93.0
15,60.0,90.0
16,85.0,94.0
17,68.0,99.0
18,91.0,87.0
19,85.0,91.0
20,92.0,97.0
21,81.0,92.0
22,93.0,92.0
23,94.0,85.0
24,63.0,94.0
25,94.0,85.0
26,93.0,86.0
27,93.0,95.0
28,-60.0,94.0
29,97.0,93.0
30,95.0,88.0
31,90.0,85.0
32,96.0,89.0
33,92.0,92.0
34,90.0,97.0
35,94.0,93.0
36,89.0,89.0
37,91.0,94.0
38,94.0,90.0
39,91.0,92.0
40,92.0,93.0
41,91.0,90.0
42,61.0,92.0
43,93.0,97.0
44,93.0,91.0
45,88.0,92.0
46,89.0,92.0
47,-58.0,93.0
48,87.0,93.0
49,97.0,94.0
50,87.0,86.0
51,93.0,88.0
52,93.0,96.0
53,90.0,89.0
54,89.0,95.0
55,90.0,94.0
56,95.0,82.0
57,90.0,85.0
58,91.0,86.0
59,-60.0,96.0
60,94.0,99.0
61,-57.0,94.0
62,98.0,91.0
63,95.0,87.0
64,87.0,86.0
65,97.0,93.0
66,81.0,95.0
67,76.0,97.0
68,94.0,96.0
69,97.0,91.0
70,93.0,92.0
71,94.0,89.0
72,95.0,87.0
73,92.0,93.0
74,87.0,93.0
75,95.0,95.0
76,81.0,91.0
77,50.0,92.0
78,94.0,92.0
79,88.0,92.0
80,55.0,94.0
81,97.0,90.0
82,94.0,84.0
83,98.0,94.0
84,92.0,90.0
85,96.0,94.0
86,96.0,91.0
87,91.0,87.0
88,89.0,90.0
89,95.0,87.0
90,89.0,88.0
91,99.0,89.0
92,87.0,98.0
93,95.0,94.0
94,86.0,89.0
95,95.0,93.0
96,92.0,94.0
97,-55.0,91.0
98,-58.0,95.0
99,86.0,91.0
100,94.0,84.0
101,87.0,86.0
102,97.0,90.0
103,91.0,88.0
104,94.0,92.0
105,92.0,92.0
106,93.0,91.0
107,94.0,90.0
108,92.0,94.0
109,94.0,93.0
110,92.0,88.0
111,94.0,86.0
112,94.0,98.0
113,-63.0,90.0
114,70.0,94.0
115,87.0,96.0
116,89.0,94.0
117,62.0,92.0
118,95.0,90.0
119,94.0,85.0
120,82.0,88.0
121,93.0,99.0
122,86.0,95.0
123,95.0,89.0
124,93.0,93.0
125,92.0,94.0
126,93.0,96.0
127,84.0,86.0
128,64.0,71.0
129,90.0,95.0
130,96.0,93.0
131,95.0,96.0
132,36.0,92.0
133,69.0,89.0
134,86.0,92.0
135,79.0,96.0
136,94.0,87.0
137,95.0,92.0
138,94.0,97.0
139,93.0,84.0
140,85.0,84.0
141,93.0,87.0
142,84.0,88.0
143,96.0,88.0
144,-55.0,91.0
145,82.0,89.0
146,46.0,89.0
147,85.0,95.0
148,96.0,89.0
149,85.0,86.0
150,89.0,95.0
151,92.0,93.0
152,92.0,92.0
153,94.0,92.0
154,93.0,93.0
155,91.0,94.0
156,93.0,93.0
157,91.0,97.0
158,-46.0,93.0
159,89.0,96.0
160,95.0,97.0
161,-57.0,93.0
162,86.0,93.0
163,90.0,93.0
164,91.0,82.0
165,93.0,93.0
166,89.0,92.0
167,88.0,88.0
168,79.0,96.0
169,96.0,97.0
170,95.0,96.0
171,91.0,96.0
172,91.0,94.0
173,94.0,88.0
174,-46.0,94.0
175,59.0,89.0
176,70.0,85.0
177,93.0,89.0
178,91.0,95.0
179,90.0,87.0
180,95.0,84.0
181,90.0,88.0
182,91.0,91.0
183,98.0,93.0
184,91.0,98.0
185,93.0,91.0
186,96.0,96.0
187,87.0,86.0
188,92.0,98.0
189,96.0,91.0
190,85.0,93.0
191,90.0,95.0
192,-53.0,90.0
193,87.0,92.0
194,-49.0,93.0
195,82.0,86.0
196,94.0,80.0
197,90.0,96.0
198,96.0,87.0
199,92.0,93.0
