episode,global_step,episode_step,true_policy,new_assumed_policy
14,118,11,chase_y,chase_y
29,213,2,chase_x,chase_x
39,307,17,chase_y,chase_y
52,411,6,chase_x,chase_x
62,510,11,chase_y,chase_y
76,607,7,chase_x,chase_x
88,708,15,chase_y,chase_y
97,808,19,chase_x,chase_x
108,907,12,chase_y,chase_y
120,1008,17,chase_x,chase_x
136,1117,6,chase_y,chase_y
145,1207,12,chase_x,chase_x
155,1308,16,chase_y,chase_y
167,1407,9,chase_x,chase_x
181,1508,14,chase_y,chase_y
196,1607,13,chase_x,chase_x
208,1707,9,chase_y,chase_y
221,1808,12,chase_x,chase_x
234,1908,11,chase_y,chase_y
246,2008,7,chase_x,chase_x
262,2110,13,chase_y,chase_y
274,2208,11,chase_x,chase_x
284,2307,11,chase_y,chase_y
297,2408,12,chase_x,chase_x
308,2507,19,chase_y,chase_y
321,2609,8,chase_x,chase_x
330,2708,13,chase_y,chase_y
341,2810,12,chase_x,chase_x
356,2910,11,chase_y,chase_y
365,3008,19,chase_x,chase_x
376,3108,12,chase_y,chase_y
388,3207,9,chase_x,chase_x
399,3308,12,chase_y,chase_y
410,3407,13,chase_x,chase_x
423,3508,9,chase_y,chase_y
435,3607,8,chase_x,chase_x
446,3707,13,chase_y,chase_y
456,3808,14,chase_x,chase_x
470,3907,12,chase_y,chase_y
481,4008,9,chase_x,chase_x
496,4114,1,chase_y,chase_y
507,4207,10,chase_x,chase_x
520,4309,14,chase_y,chase_y
531,4408,7,chase_x,chase_x
542,4513,4,chase_y,chase_y
554,4607,10,chase_x,chase_x
563,4707,16,chase_y,chase_y
574,4810,11,chase_x,chase_x
584,4909,14,chase_y,chase_y
596,5011,12,chase_x,chase_x
607,5109,13,chase_y,chase_y
618,5208,8,chase_x,chase_x
628,5316,18,chase_y,chase_y
640,5407,5,chase_x,chase_x
653,5509,16,chase_y,chase_y
664,5611,11,chase_x,chase_x
674,5708,14,chase_y,chase_y
686,5807,11,chase_x,chase_x
699,5907,10,chase_y,chase_y
712,6009,12,chase_x,chase_x
724,6110,7,chase_y,chase_y
738,6209,10,chase_x,chase_x
747,6308,13,chase_y,chase_y
760,6408,11,chase_x,chase_x
772,6507,17,chase_y,chase_y
785,6615,14,chase_x,chase_x
796,6708,16,chase_y,chase_y
809,6807,11,chase_x,chase_x
823,6909,11,chase_y,chase_y
835,7008,11,chase_x,chase_x
845,7110,11,chase_y,chase_y
857,7208,22,chase_x,chase_x
867,7307,12,chase_y,chase_y
879,7409,18,chase_x,chase_x
891,7507,18,chase_y,chase_y
904,7608,10,chase_x,chase_x
914,7710,13,chase_y,chase_y
929,7820,11,chase_x,chase_x
939,7911,2,chase_y,chase_y
949,8009,11,chase_x,chase_x
963,8110,8,chase_y,chase_y
974,8209,6,chase_x,chase_x
987,8307,9,chase_y,chase_y
995,8407,18,chase_x,chase_x
