episode,opsdemo_reward,response_policy_accuracy,baseline_reward
221,90.0,1.0,99.0
222,94.0,1.0,93.0
223,81.0,0.7647058823529411,90.0
224,93.0,1.0,92.0
225,90.0,1.0,96.0
226,97.0,1.0,95.0
227,93.0,1.0,92.0
228,88.0,1.0,92.0
229,93.0,1.0,92.0
230,94.0,1.0,80.0
231,96.0,1.0,87.0
232,88.0,1.0,81.0
233,92.0,1.0,83.0
234,94.0,1.0,93.0
235,76.0,0.6818181818181818,94.0
236,86.0,1.0,93.0
237,92.0,1.0,92.0
238,96.0,1.0,92.0
239,92.0,1.0,94.0
240,92.0,1.0,94.0
241,87.0,1.0,89.0
242,93.0,1.0,94.0
243,92.0,1.0,85.0
244,92.0,1.0,92.0
245,92.0,1.0,93.0
246,87.0,0.6923076923076923,86.0
247,94.0,1.0,95.0
248,96.0,1.0,90.0
249,90.0,1.0,96.0
250,96.0,1.0,97.0
251,86.0,1.0,95.0
252,94.0,1.0,89.0
253,91.0,1.0,93.0
254,91.0,1.0,90.0
255,94.0,1.0,92.0
256,91.0,1.0,94.0
257,97.0,1.0,94.0
258,94.0,1.0,91.0
259,78.0,0.8571428571428571,93.0
260,94.0,1.0,84.0
261,96.0,1.0,88.0
262,85.0,1.0,90.0
263,92.0,1.0,88.0
264,89.0,1.0,94.0
265,93.0,1.0,79.0
266,98.0,1.0,91.0
267,90.0,1.0,92.0
268,94.0,1.0,92.0
269,92.0,1.0,95.0
270,78.0,0.7142857142857143,98.0
271,92.0,1.0,91.0
272,94.0,1.0,96.0
273,92.0,1.0,99.0
274,94.0,1.0,95.0
275,93.0,1.0,97.0
276,89.0,1.0,90.0
277,87.0,1.0,89.0
278,91.0,1.0,89.0
279,92.0,1.0,82.0
280,68.0,0.6666666666666666,91.0
281,90.0,1.0,94.0
282,98.0,1.0,93.0
283,91.0,1.0,90.0
284,96.0,1.0,96.0
285,88.0,1.0,99.0
286,94.0,1.0,93.0
287,97.0,1.0,87.0
288,91.0,1.0,93.0
289,95.0,1.0,93.0
290,93.0,1.0,90.0
291,92.0,1.0,97.0
292,90.0,1.0,86.0
