episode,opsdemo_reward,response_policy_accuracy,baseline_reward
0,93.0,1.0,92.0
1,95.0,1.0,94.0
2,96.0,1.0,96.0
3,93.0,1.0,89.0
4,95.0,1.0,88.0
5,95.0,1.0,91.0
6,94.0,1.0,87.0
7,95.0,1.0,93.0
8,86.0,1.0,95.0
9,92.0,1.0,87.0
10,95.0,1.0,93.0
11,89.0,1.0,95.0
12,91.0,1.0,87.0
13,92.0,1.0,92.0
14,84.0,0.75,89.0
15,88.0,1.0,88.0
16,95.0,1.0,89.0
17,96.0,1.0,88.0
18,93.0,1.0,92.0
19,92.0,1.0,92.0
20,87.0,1.0,89.0
21,97.0,1.0,96.0
22,94.0,1.0,90.0
23,94.0,1.0,94.0
24,98.0,1.0,94.0
25,96.0,1.0,94.0
26,96.0,1.0,88.0
27,93.0,1.0,94.0
28,86.0,0.7857142857142857,87.0
29,96.0,1.0,89.0
30,86.0,1.0,95.0
31,99.0,1.0,93.0
32,92.0,1.0,94.0
33,96.0,1.0,93.0
34,96.0,1.0,98.0
35,91.0,1.0,88.0
36,94.0,1.0,93.0
37,91.0,1.0,89.0
38,95.0,1.0,88.0
39,95.0,1.0,97.0
40,97.0,1.0,88.0
41,93.0,1.0,94.0
42,90.0,1.0,89.0
43,84.0,0.5,90.0
44,90.0,1.0,96.0
45,93.0,1.0,93.0
46,90.0,1.0,92.0
47,92.0,1.0,87.0
48,91.0,1.0,84.0
49,94.0,1.0,96.0
50,96.0,1.0,93.0
51,93.0,1.0,91.0
52,92.0,1.0,85.0
53,88.0,1.0,86.0
54,84.0,0.6428571428571429,96.0
55,98.0,1.0,92.0
56,83.0,1.0,91.0
57,92.0,1.0,91.0
58,88.0,1.0,93.0
59,97.0,1.0,91.0
60,94.0,1.0,89.0
61,97.0,1.0,87.0
62,90.0,1.0,93.0
63,89.0,1.0,91.0
64,95.0,1.0,95.0
65,90.0,1.0,87.0
66,87.0,0.9230769230769231,92.0
67,92.0,1.0,91.0
68,87.0,1.0,94.0
69,91.0,1.0,94.0
70,92.0,1.0,89.0
71,85.0,1.0,91.0
72,86.0,1.0,92.0
73,90.0,1.0,94.0
74,94.0,1.0,92.0
75,93.0,1.0,93.0
76,87.0,0.7692307692307693,90.0
77,85.0,1.0,91.0
78,89.0,1.0,94.0
79,91.0,1.0,95.0
80,86.0,1.0,94.0
81,86.0,1.0,76.0
82,86.0,1.0,93.0
83,90.0,1.0,93.0
84,86.0,0.8571428571428571,90.0
85,89.0,1.0,88.0
86,89.0,1.0,94.0
87,90.0,1.0,88.0
88,88.0,1.0,92.0
89,95.0,1.0,96.0
90,98.0,1.0,92.0
91,86.0,1.0,92.0
92,89.0,1.0,98.0
93,94.0,1.0,93.0
94,85.0,0.7142857142857143,96.0
95,91.0,1.0,92.0
96,93.0,1.0,90.0
97,93.0,1.0,93.0
98,91.0,1.0,87.0
99,89.0,1.0,92.0
100,88.0,1.0,96.0
101,99.0,1.0,84.0
102,94.0,1.0,84.0
103,89.0,1.0,94.0
104,94.0,1.0,75.0
105,93.0,1.0,87.0
106,91.0,1.0,86.0
107,86.0,0.6428571428571429,96.0
108,94.0,1.0,93.0
109,93.0,1.0,90.0
110,89.0,1.0,89.0
111,98.0,1.0,85.0
112,93.0,1.0,90.0
113,94.0,1.0,83.0
114,93.0,1.0,91.0
115,93.0,1.0,86.0
116,94.0,1.0,95.0
117,95.0,1.0,94.0
118,92.0,1.0,92.0
119,91.0,1.0,89.0
120,79.0,0.8095238095238095,87.0
121,97.0,1.0,92.0
122,94.0,1.0,95.0
123,94.0,1.0,87.0
124,93.0,1.0,96.0
125,91.0,1.0,92.0
126,89.0,1.0,93.0
127,93.0,1.0,96.0
128,93.0,1.0,94.0
129,93.0,1.0,92.0
130,90.0,1.0,93.0
131,95.0,1.0,89.0
132,97.0,1.0,95.0
133,95.0,0.8,92.0
134,91.0,0.5555555555555556,93.0
135,94.0,1.0,93.0
136,90.0,1.0,98.0
137,93.0,1.0,95.0
138,91.0,1.0,84.0
139,93.0,1.0,87.0
140,89.0,1.0,98.0
141,95.0,1.0,85.0
142,93.0,1.0,95.0
143,96.0,1.0,91.0
144,88.0,1.0,92.0
145,95.0,1.0,93.0
146,93.0,1.0,88.0
147,95.0,0.0,92.0
148,95.0,0.0,82.0
149,92.0,0.625,91.0
150,91.0,1.0,85.0
151,90.0,1.0,91.0
152,94.0,1.0,89.0
153,91.0,1.0,91.0
154,95.0,1.0,89.0
155,93.0,1.0,89.0
156,94.0,1.0,86.0
157,96.0,1.0,86.0
158,92.0,1.0,87.0
159,96.0,1.0,89.0
160,93.0,1.0,88.0
161,88.0,0.8333333333333334,88.0
162,92.0,1.0,93.0
163,92.0,1.0,89.0
164,91.0,1.0,94.0
165,95.0,1.0,85.0
166,96.0,1.0,74.0
167,92.0,1.0,96.0
168,95.0,1.0,93.0
169,88.0,1.0,88.0
170,86.0,1.0,97.0
171,94.0,1.0,93.0
172,95.0,1.0,95.0
173,96.0,1.0,92.0
174,98.0,1.0,96.0
175,95.0,1.0,86.0
176,81.0,0.7058823529411765,92.0
177,93.0,1.0,92.0
178,94.0,1.0,79.0
179,88.0,1.0,94.0
180,92.0,1.0,88.0
181,92.0,1.0,96.0
182,87.0,1.0,83.0
183,92.0,1.0,89.0
184,97.0,1.0,94.0
185,96.0,1.0,96.0
186,88.0,1.0,89.0
187,98.0,1.0,88.0
188,92.0,0.5,92.0
189,96.0,1.0,92.0
190,92.0,1.0,84.0
191,87.0,1.0,89.0
192,93.0,1.0,89.0
193,92.0,1.0,94.0
194,96.0,1.0,89.0
195,92.0,1.0,95.0
196,88.0,1.0,95.0
197,89.0,1.0,89.0
198,86.0,1.0,84.0
199,96.0,1.0,88.0
200,89.0,0.5454545454545454,92.0
201,99.0,1.0,95.0
202,85.0,1.0,87.0
203,88.0,1.0,89.0
204,90.0,1.0,91.0
205,86.0,1.0,91.0
206,88.0,1.0,92.0
207,91.0,1.0,95.0
208,93.0,1.0,89.0
209,93.0,1.0,88.0
210,84.0,0.75,86.0
211,92.0,1.0,93.0
212,91.0,1.0,89.0
213,95.0,1.0,87.0
214,95.0,1.0,92.0
215,91.0,1.0,85.0
216,95.0,1.0,96.0
217,90.0,1.0,93.0
218,90.0,1.0,96.0
219,93.0,1.0,94.0
220,94.0,1.0,95.0
