ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,18,0.0,0.0,-25.043733,0,0
direct,523,0.003824,0.001912,7.009378,1,2
detour,259,1.0,0.003861,222.347027,0,258
