episode,global_step,episode_step,true_policy,new_assumed_policy
4,25,2,chase_x,chase_x
5,31,3,chase_x,chase_y
5,37,9,chase_x,chase_x
6,43,2,chase_x,chase_x
8,53,1,chase_x,chase_x
9,63,8,chase_x,chase_x
10,71,3,chase_x,chase_y
10,76,8,chase_x,chase_x
11,84,3,chase_x,chase_x
13,98,4,chase_x,chase_x
13,103,9,chase_y,chase_y
13,111,17,chase_y,chase_x
13,116,22,chase_y,chase_y
13,121,27,chase_y,chase_x
13,127,33,chase_y,chase_x
13,132,38,chase_y,chase_x
14,137,3,chase_y,chase_y
15,148,7,chase_y,chase_x
15,154,13,chase_y,chase_x
15,159,18,chase_y,chase_y
15,167,26,chase_y,chase_x
15,172,31,chase_y,chase_x
15,181,40,chase_y,chase_x
16,191,10,chase_y,chase_x
16,196,15,chase_y,chase_x
17,209,2,chase_x,chase_x
18,220,7,chase_x,chase_y
19,225,2,chase_x,chase_x
20,233,1,chase_x,chase_x
21,245,4,chase_x,chase_x
23,261,5,chase_x,chase_x
24,269,6,chase_x,chase_x
27,282,7,chase_x,chase_x
28,290,6,chase_x,chase_x
30,303,6,chase_y,chase_x
30,310,13,chase_y,chase_x
30,317,20,chase_y,chase_x
30,324,27,chase_y,chase_y
33,343,8,chase_y,chase_x
33,350,15,chase_y,chase_x
33,356,21,chase_y,chase_x
33,363,28,chase_y,chase_x
33,368,33,chase_y,chase_y
34,374,1,chase_y,chase_x
34,380,7,chase_y,chase_x
34,387,14,chase_y,chase_x
34,394,21,chase_y,chase_x
34,399,26,chase_y,chase_x
35,410,3,chase_x,chase_x
36,422,5,chase_x,chase_y
37,428,2,chase_x,chase_x
38,439,5,chase_x,chase_x
40,450,6,chase_x,chase_x
43,463,3,chase_x,chase_x
44,469,2,chase_x,chase_x
45,476,3,chase_x,chase_x
46,486,1,chase_x,chase_x
46,494,9,chase_x,chase_x
47,502,8,chase_y,chase_y
48,514,3,chase_y,chase_x
48,523,12,chase_y,chase_x
48,531,20,chase_y,chase_x
48,536,25,chase_y,chase_x
48,541,30,chase_y,chase_x
48,550,39,chase_y,chase_x
49,555,4,chase_y,chase_x
49,562,11,chase_y,chase_y
52,580,6,chase_y,chase_x
52,585,11,chase_y,chase_x
52,593,19,chase_y,chase_x
52,600,26,chase_x,chase_x
54,613,2,chase_x,chase_x
55,619,4,chase_x,chase_x
56,628,7,chase_x,chase_x
57,634,5,chase_x,chase_y
57,640,11,chase_x,chase_x
58,645,2,chase_x,chase_x
58,651,8,chase_x,chase_y
58,659,16,chase_x,chase_x
58,667,24,chase_x,chase_x
60,683,6,chase_x,chase_x
61,692,7,chase_x,chase_x
61,697,12,chase_x,chase_x
63,706,5,chase_y,chase_x
64,713,3,chase_y,chase_y
65,724,6,chase_y,chase_x
65,729,11,chase_y,chase_y
66,741,11,chase_y,chase_x
66,746,16,chase_y,chase_y
67,753,1,chase_y,chase_x
67,758,6,chase_y,chase_x
67,763,11,chase_y,chase_x
67,769,17,chase_y,chase_x
67,774,22,chase_y,chase_x
67,779,27,chase_y,chase_x
67,785,33,chase_y,chase_y
69,793,2,chase_y,chase_x
69,798,7,chase_y,chase_x
69,805,14,chase_x,chase_x
71,818,6,chase_x,chase_x
73,831,6,chase_x,chase_x
74,842,6,chase_x,chase_x
76,854,2,chase_x,chase_x
76,860,8,chase_x,chase_x
77,872,12,chase_x,chase_x
78,878,6,chase_x,chase_x
79,884,1,chase_x,chase_x
80,890,3,chase_x,chase_x
82,902,3,chase_y,chase_y
83,913,6,chase_y,chase_x
83,918,11,chase_y,chase_x
83,923,16,chase_y,chase_x
83,932,25,chase_y,chase_y
83,937,30,chase_y,chase_x
83,943,36,chase_y,chase_x
84,948,1,chase_y,chase_y
87,965,5,chase_y,chase_x
87,971,11,chase_y,chase_y
87,977,17,chase_y,chase_x
88,983,2,chase_y,chase_x
88,990,9,chase_y,chase_x
89,996,1,chase_y,chase_y
89,1002,7,chase_x,chase_x
91,1020,12,chase_x,chase_x
92,1027,7,chase_x,chase_x
95,1043,3,chase_x,chase_y
95,1049,9,chase_x,chase_x
96,1055,4,chase_x,chase_x
97,1062,4,chase_x,chase_x
98,1069,2,chase_x,chase_x
100,1084,4,chase_x,chase_x
101,1091,2,chase_x,chase_x
103,1101,2,chase_y,chase_x
103,1106,7,chase_y,chase_x
103,1111,12,chase_y,chase_x
103,1117,18,chase_y,chase_x
103,1123,24,chase_y,chase_x
103,1128,29,chase_y,chase_x
103,1134,35,chase_y,chase_x
104,1140,1,chase_y,chase_x
104,1147,8,chase_y,chase_x
104,1153,14,chase_y,chase_x
104,1158,19,chase_y,chase_x
104,1163,24,chase_y,chase_x
104,1170,31,chase_y,chase_x
104,1176,37,chase_y,chase_x
105,1184,5,chase_y,chase_y
105,1193,14,chase_y,chase_x
105,1199,20,chase_y,chase_y
105,1204,25,chase_x,chase_x
105,1210,31,chase_x,chase_x
106,1217,4,chase_x,chase_y
106,1224,11,chase_x,chase_x
107,1236,9,chase_x,chase_x
108,1241,3,chase_x,chase_x
108,1247,9,chase_x,chase_x
110,1261,1,chase_x,chase_x
110,1269,9,chase_x,chase_x
111,1280,11,chase_x,chase_x
112,1288,7,chase_x,chase_x
113,1300,12,chase_y,chase_y
113,1309,21,chase_y,chase_x
115,1317,5,chase_y,chase_y
115,1322,10,chase_y,chase_x
115,1327,15,chase_y,chase_x
116,1333,5,chase_y,chase_x
116,1338,10,chase_y,chase_x
116,1343,15,chase_y,chase_x
116,1349,21,chase_y,chase_x
116,1355,27,chase_y,chase_x
116,1362,34,chase_y,chase_x
116,1368,40,chase_y,chase_y
117,1377,9,chase_y,chase_x
117,1383,15,chase_y,chase_x
117,1390,22,chase_y,chase_x
117,1395,27,chase_y,chase_x
117,1402,34,chase_x,chase_x
118,1412,4,chase_x,chase_y
118,1418,10,chase_x,chase_x
121,1434,6,chase_x,chase_x
123,1448,6,chase_x,chase_x
125,1462,6,chase_x,chase_x
126,1469,5,chase_x,chase_x
127,1476,7,chase_x,chase_x
129,1484,2,chase_x,chase_x
129,1489,7,chase_x,chase_x
131,1502,5,chase_y,chase_y
132,1512,5,chase_y,chase_x
133,1521,8,chase_y,chase_x
133,1526,13,chase_y,chase_y
133,1533,20,chase_y,chase_x
133,1540,27,chase_y,chase_y
134,1551,9,chase_y,chase_x
134,1556,14,chase_y,chase_x
135,1566,10,chase_y,chase_x
135,1572,16,chase_y,chase_x
135,1580,24,chase_y,chase_x
135,1585,29,chase_y,chase_x
135,1591,35,chase_y,chase_y
137,1600,3,chase_x,chase_x
137,1607,10,chase_x,chase_x
138,1617,8,chase_x,chase_x
139,1627,9,chase_x,chase_x
141,1638,5,chase_x,chase_y
142,1645,5,chase_x,chase_x
143,1651,3,chase_x,chase_y
143,1656,8,chase_x,chase_x
144,1666,5,chase_x,chase_x
145,1674,7,chase_x,chase_x
146,1686,12,chase_x,chase_x
147,1694,7,chase_x,chase_x
148,1699,5,chase_x,chase_x
148,1705,11,chase_y,chase_x
148,1710,16,chase_y,chase_x
149,1716,3,chase_y,chase_x
149,1722,9,chase_y,chase_x
150,1728,2,chase_y,chase_y
151,1742,6,chase_y,chase_x
152,1749,6,chase_y,chase_x
152,1755,12,chase_y,chase_x
152,1760,17,chase_y,chase_x
152,1768,25,chase_y,chase_x
152,1773,30,chase_y,chase_y
153,1779,3,chase_y,chase_x
153,1785,9,chase_y,chase_x
153,1791,15,chase_y,chase_y
153,1798,22,chase_y,chase_x
153,1805,29,chase_x,chase_x
155,1816,6,chase_x,chase_x
156,1828,6,chase_x,chase_x
158,1837,3,chase_x,chase_x
158,1843,9,chase_x,chase_x
159,1850,7,chase_x,chase_x
160,1858,6,chase_x,chase_y
160,1863,11,chase_x,chase_x
160,1869,17,chase_x,chase_y
160,1876,24,chase_x,chase_x
162,1887,2,chase_x,chase_x
163,1892,1,chase_x,chase_y
164,1897,5,chase_x,chase_x
164,1904,12,chase_y,chase_y
164,1911,19,chase_y,chase_x
164,1916,24,chase_y,chase_x
164,1922,30,chase_y,chase_x
164,1928,36,chase_y,chase_x
165,1936,4,chase_y,chase_y
166,1946,6,chase_y,chase_x
166,1951,11,chase_y,chase_x
166,1958,18,chase_y,chase_y
166,1963,23,chase_y,chase_x
167,1968,4,chase_y,chase_x
168,1974,4,chase_y,chase_y
169,1988,5,chase_y,chase_x
169,1994,11,chase_y,chase_y
169,2001,18,chase_x,chase_x
171,2010,2,chase_x,chase_x
172,2027,15,chase_x,chase_x
174,2038,2,chase_x,chase_y
174,2043,7,chase_x,chase_x
174,2050,14,chase_x,chase_y
174,2055,19,chase_x,chase_x
174,2061,25,chase_x,chase_x
175,2066,4,chase_x,chase_x
175,2071,9,chase_x,chase_x
177,2085,5,chase_x,chase_x
178,2094,4,chase_x,chase_y
178,2099,9,chase_x,chase_x
178,2105,15,chase_y,chase_y
178,2112,22,chase_y,chase_x
178,2117,27,chase_y,chase_y
178,2123,33,chase_y,chase_x
178,2128,38,chase_y,chase_x
179,2134,4,chase_y,chase_y
179,2140,10,chase_y,chase_x
180,2149,9,chase_y,chase_y
182,2167,7,chase_y,chase_x
182,2172,12,chase_y,chase_x
182,2177,17,chase_y,chase_x
182,2182,22,chase_y,chase_x
182,2188,28,chase_y,chase_x
182,2194,34,chase_y,chase_x
182,2200,40,chase_x,chase_x
183,2209,9,chase_x,chase_x
185,2226,6,chase_x,chase_y
186,2233,3,chase_x,chase_x
188,2246,2,chase_x,chase_y
189,2259,6,chase_x,chase_x
191,2274,8,chase_x,chase_y
192,2279,5,chase_x,chase_x
194,2292,6,chase_x,chase_x
196,2304,2,chase_y,chase_y
197,2318,6,chase_y,chase_x
197,2323,11,chase_y,chase_y
197,2329,17,chase_y,chase_x
198,2336,7,chase_y,chase_y
199,2349,8,chase_y,chase_x
200,2356,7,chase_y,chase_y
200,2361,12,chase_y,chase_x
201,2369,8,chase_y,chase_x
201,2375,14,chase_y,chase_x
202,2382,4,chase_y,chase_y
203,2394,6,chase_y,chase_x
204,2400,4,chase_x,chase_y
204,2405,9,chase_x,chase_x
206,2421,4,chase_x,chase_x
207,2428,1,chase_x,chase_y
207,2433,6,chase_x,chase_x
207,2438,11,chase_x,chase_x
209,2445,3,chase_x,chase_x
210,2457,11,chase_x,chase_x
