ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,33,0.0,0.0,0.655446,0,0
direct,578,0.00519,0.0,8.508562,0,3
detour,189,0.989418,0.005291,244.342487,0,186
