episode,global_step,from_policy,to_policy,true_policy,normalized_error
92,3664,attack,attack,detour,0.36435818672180176
92,3680,attack,attack,attack,1.683828592300415
92,3695,attack,attack,attack,0.531495988368988
92,3737,attack,attack,attack,0.3162248730659485
92,3810,attack,attack,attack,0.19788657128810883
94,3858,attack,attack,direct,0.21581432223320007
96,3888,attack,attack,direct,0.3365950286388397
99,3909,attack,detour,direct,0.5226503610610962
100,3932,detour,attack,direct,1.816307783126831
102,3965,attack,attack,direct,0.24089999496936798
103,3989,attack,attack,direct,0.24862352013587952
106,4036,attack,detour,detour,0.7773817181587219
107,4085,detour,detour,detour,0.3064560294151306
107,4118,detour,detour,detour,0.4442639648914337
108,4160,detour,attack,attack,0.8265023231506348
109,4242,attack,attack,attack,0.17836463451385498
109,4320,attack,detour,direct,2.045227527618408
109,4338,detour,attack,direct,0.6598355770111084
110,4358,attack,attack,direct,0.2328469455242157
113,4394,attack,direct,direct,0.8111228346824646
115,4414,direct,attack,direct,0.6083555221557617
119,4477,attack,attack,direct,0.07688053697347641
119,4540,attack,attack,detour,0.22330285608768463
119,4563,attack,direct,detour,2.1937031745910645
119,4574,direct,attack,detour,0.3611496388912201
119,4580,attack,attack,detour,0.7499479055404663
119,4587,attack,direct,detour,1.617844820022583
119,4598,direct,direct,detour,1.3147709369659424
119,4608,direct,direct,detour,0.7289706468582153
119,4619,direct,direct,detour,0.6413618326187134
119,4628,direct,direct,detour,1.2852401733398438
119,4638,direct,detour,detour,1.1522819995880127
119,4647,detour,attack,attack,0.5958223938941956
119,4658,attack,detour,attack,0.5625654458999634
119,4691,detour,detour,attack,0.37261325120925903
119,4718,detour,attack,attack,0.5021864771842957
120,4750,attack,attack,attack,0.5894514322280884
120,4800,attack,direct,direct,2.0972633361816406
121,4827,direct,direct,direct,0.08303728699684143
123,4859,direct,direct,direct,0.42418569326400757
124,4882,direct,direct,direct,0.4756065905094147
127,4916,direct,direct,direct,0.31660109758377075
129,4957,direct,direct,direct,0.3470855951309204
129,4986,direct,direct,detour,0.46262186765670776
129,5035,direct,direct,detour,1.8409011363983154
129,5048,direct,direct,detour,0.830146849155426
129,5062,direct,attack,detour,0.9552397727966309
129,5068,attack,direct,detour,2.2455239295959473
129,5086,direct,attack,detour,1.2720108032226562
129,5094,attack,direct,detour,0.49785661697387695
129,5107,direct,attack,detour,1.827120065689087
129,5115,attack,direct,detour,1.21425461769104
129,5125,direct,direct,attack,0.440654456615448
129,5166,direct,direct,attack,0.28105542063713074
130,5194,direct,attack,attack,1.1331678628921509
130,5239,attack,attack,attack,0.17456772923469543
130,5281,attack,detour,direct,0.7426350116729736
132,5302,detour,attack,direct,1.1057093143463135
134,5330,attack,detour,direct,0.27175745368003845
136,5368,detour,attack,direct,1.3846769332885742
138,5391,attack,attack,direct,0.17974090576171875
141,5468,attack,attack,detour,0.09226375818252563
142,5507,attack,detour,detour,0.619300365447998
143,5549,detour,detour,detour,0.3951287865638733
144,5581,detour,detour,detour,0.23689614236354828
145,5634,detour,detour,attack,0.24862118065357208
145,5667,detour,attack,attack,0.7436651587486267
146,5715,attack,attack,attack,0.12810179591178894
149,5802,attack,attack,direct,0.18656106293201447
154,5880,attack,attack,direct,0.29544979333877563
156,5931,attack,attack,detour,0.2556222081184387
156,5954,attack,direct,detour,0.9893326759338379
156,5966,direct,detour,detour,1.013332486152649
156,5973,detour,detour,detour,0.4996553063392639
156,5988,detour,attack,detour,0.8691133856773376
156,6004,attack,attack,detour,0.7701254487037659
156,6034,attack,attack,detour,0.2582758069038391
156,6069,attack,direct,detour,1.8964183330535889
156,6076,direct,attack,detour,1.0336989164352417
156,6082,attack,direct,attack,1.157212495803833
156,6106,direct,direct,attack,0.2954639792442322
156,6138,direct,direct,attack,0.36745956540107727
157,6174,direct,direct,attack,0.7353350520133972
158,6210,direct,direct,attack,0.1850767582654953
159,6250,direct,direct,direct,0.2179046869277954
161,6278,direct,direct,direct,0.30436378717422485
163,6306,direct,attack,direct,1.245780110359192
164,6326,attack,attack,direct,0.1304735392332077
166,6362,attack,attack,direct,0.30006957054138184
167,6385,attack,attack,direct,0.29165008664131165
169,6407,attack,attack,detour,0.4264415502548218
169,6459,attack,direct,detour,2.165070056915283
