outcome_pair,episodes,mean_reward_gap,median_reward_gap,mean_ops_reward,mean_baseline_reward,mean_ops_len,mean_baseline_len
baseline_only_win,65,-244.765053,-241.078283,-124.826468,119.938585,76.369231,53.461538
both_lose,465,-1.138875,-0.024524,-122.019858,-120.880982,35.329032,34.63871
both_win,71,-1.340005,-0.506152,118.555683,119.895687,37.478873,53.760563
ops_only_win,199,239.416701,240.096341,118.531147,-120.885554,37.015075,34.788945
