ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
direct,610,0.003279,0.25082,-52.209452,153,2
attack,34,0.029412,0.088235,-20.317758,3,1
detour,156,0.935897,0.205128,144.758279,4,118
