episode,global_step,from_policy,to_policy,true_policy,normalized_error
1,43,direct,detour,direct,0.5318516492843628
3,70,detour,attack,direct,0.2938096523284912
5,109,attack,detour,direct,0.5768061280250549
7,134,detour,direct,direct,0.3050384521484375
8,154,direct,direct,direct,0.4947769045829773
9,174,direct,direct,detour,0.2564559280872345
9,208,direct,direct,detour,0.48050764203071594
10,231,direct,detour,detour,0.5491253733634949
10,266,detour,direct,detour,0.43486475944519043
11,289,direct,detour,detour,0.6843280792236328
12,330,detour,attack,attack,0.5095012784004211
12,358,attack,detour,attack,1.1027121543884277
12,409,detour,detour,attack,0.576590895652771
12,440,detour,attack,attack,0.44319936633110046
14,484,attack,detour,direct,0.2941174805164337
16,524,detour,detour,direct,0.39343544840812683
18,559,detour,attack,direct,0.32412588596343994
20,585,attack,direct,direct,0.5986332893371582
22,606,direct,direct,direct,0.6490740180015564
24,646,direct,attack,detour,0.2312696874141693
24,678,attack,attack,detour,0.24713829159736633
25,719,attack,detour,detour,0.3075711131095886
25,767,detour,detour,detour,0.4628241956233978
26,802,detour,attack,attack,0.5310570001602173
26,839,attack,direct,attack,0.31416332721710205
26,852,direct,attack,attack,1.0429017543792725
26,883,attack,detour,attack,0.42805129289627075
27,919,detour,detour,attack,0.2930859625339508
27,960,detour,attack,direct,0.914064884185791
29,982,attack,detour,direct,0.9829013347625732
30,1010,detour,detour,direct,0.2419644296169281
32,1045,detour,direct,direct,0.7281919717788696
33,1065,direct,direct,direct,0.8310009241104126
35,1100,direct,direct,direct,0.3446637690067291
36,1145,direct,direct,detour,0.44181403517723083
36,1165,direct,detour,detour,0.6837525367736816
36,1177,detour,attack,detour,1.7758502960205078
36,1192,attack,attack,detour,1.4989246129989624
36,1206,attack,detour,detour,0.4822043478488922
36,1219,detour,attack,detour,1.6466405391693115
36,1229,attack,attack,detour,1.145716905593872
36,1253,attack,attack,detour,0.12536706030368805
36,1284,attack,direct,attack,1.2017587423324585
36,1322,direct,detour,attack,0.7494627237319946
36,1342,detour,direct,attack,0.5520836710929871
36,1387,direct,direct,attack,0.2387286126613617
36,1427,direct,direct,attack,0.1540892869234085
36,1470,direct,direct,direct,0.22813725471496582
38,1504,direct,detour,direct,0.409341961145401
39,1525,detour,attack,direct,0.5665415525436401
40,1555,attack,detour,direct,0.3835926055908203
41,1583,detour,detour,direct,0.5788058638572693
42,1599,detour,direct,direct,0.7323722839355469
42,1638,direct,direct,detour,0.2827104926109314
42,1686,direct,direct,detour,0.2922985553741455
42,1700,direct,attack,detour,1.532498836517334
42,1709,attack,detour,detour,1.0788440704345703
42,1717,detour,direct,detour,0.7553190588951111
42,1725,direct,attack,detour,1.1337525844573975
42,1735,attack,direct,detour,1.1192944049835205
42,1745,direct,direct,detour,0.7592366337776184
42,1756,direct,attack,detour,1.4074758291244507
42,1766,attack,attack,attack,0.7422897815704346
42,1799,attack,attack,attack,0.23402991890907288
42,1866,attack,attack,attack,0.21853867173194885
42,1920,attack,direct,direct,1.9258612394332886
44,1962,direct,direct,direct,0.19101911783218384
45,1988,direct,attack,direct,0.9039385914802551
46,2017,attack,detour,direct,0.544213593006134
48,2049,detour,detour,direct,0.3078685700893402
49,2076,detour,direct,direct,0.5020939111709595
49,2104,direct,detour,detour,0.2879871726036072
50,2134,detour,detour,detour,0.3497408926486969
51,2167,detour,detour,detour,0.29306209087371826
52,2221,detour,detour,detour,0.6093931198120117
53,2246,detour,detour,attack,0.45931655168533325
53,2280,detour,detour,attack,0.5426905155181885
53,2336,detour,detour,attack,0.18655207753181458
53,2360,detour,attack,attack,0.1413026750087738
54,2395,attack,direct,attack,0.3872779309749603
56,2425,direct,detour,direct,0.30440089106559753
58,2455,detour,attack,direct,0.5657441020011902
59,2481,attack,attack,direct,0.07725824415683746
60,2525,attack,attack,direct,0.24762675166130066
62,2562,attack,detour,detour,0.6792812943458557
63,2624,detour,detour,detour,0.2477944940328598
64,2657,detour,detour,detour,0.7491223812103271
65,2677,detour,detour,detour,0.22241497039794922
66,2720,detour,attack,attack,1.4476573467254639
67,2775,attack,attack,attack,0.21587032079696655
67,2826,attack,attack,attack,0.246265709400177
67,2886,attack,attack,direct,0.6254045963287354
68,2918,attack,direct,direct,0.5940097570419312
69,2937,direct,attack,direct,0.6060439348220825
71,2971,attack,direct,direct,0.29336732625961304
74,3002,direct,detour,direct,0.2886925935745239
76,3033,detour,detour,direct,0.4383111596107483
77,3060,detour,detour,detour,0.39186418056488037
78,3090,detour,attack,detour,0.4625106751918793
78,3131,attack,attack,detour,0.4817432165145874
79,3155,attack,detour,detour,0.5003702044487
79,3193,detour,detour,detour,0.35825198888778687
80,3223,detour,attack,attack,0.4709625244140625
80,3241,attack,detour,attack,0.19514518976211548
81,3300,detour,attack,attack,0.2640414834022522
81,3346,attack,attack,attack,0.2935978174209595
82,3363,attack,detour,direct,0.7814180850982666
85,3436,detour,attack,direct,0.16619129478931427
86,3465,attack,attack,direct,0.2700493335723877
88,3504,attack,direct,direct,0.32211095094680786
89,3549,direct,direct,detour,0.22902995347976685
89,3591,direct,direct,detour,0.14855273067951202
89,3600,direct,attack,detour,1.737642765045166
89,3608,attack,direct,detour,1.2519092559814453
89,3617,direct,attack,detour,1.1170072555541992
89,3627,attack,attack,detour,0.30737823247909546
89,3638,attack,attack,detour,0.5843200087547302
89,3649,attack,detour,detour,0.9572768807411194
89,3658,detour,attack,detour,0.6650327444076538
89,3672,attack,attack,detour,0.7656849026679993
89,3701,attack,direct,attack,0.3124655485153198
90,3733,direct,attack,attack,1.008570909500122
90,3756,attack,attack,attack,0.5443825125694275
90,3781,attack,attack,attack,0.3644197881221771
90,3826,attack,direct,attack,0.31466519832611084
92,3863,direct,attack,direct,0.34741294384002686
94,3898,attack,direct,direct,0.5400399565696716
95,3940,direct,attack,direct,0.3127930760383606
97,3978,attack,direct,direct,0.889670193195343
97,4005,direct,detour,detour,0.6407815217971802
98,4052,detour,detour,detour,0.36818480491638184
99,4101,detour,detour,detour,0.09931673109531403
100,4146,detour,direct,detour,0.3248835802078247
100,4187,direct,direct,attack,0.23432224988937378
101,4225,direct,detour,attack,0.45257511734962463
101,4266,detour,detour,attack,0.354796826839447
102,4308,detour,direct,attack,0.506545901298523
103,4343,direct,direct,direct,0.6309786438941956
104,4374,direct,detour,direct,0.30016928911209106
106,4406,detour,detour,direct,0.15715056657791138
109,4477,detour,direct,direct,0.9305965900421143
109,4506,direct,direct,detour,0.3082248270511627
110,4548,direct,detour,detour,0.9053674936294556
111,4592,detour,detour,detour,0.22077974677085876
112,4630,detour,detour,detour,0.358150452375412
112,4660,detour,direct,attack,0.43642956018447876
114,4694,direct,detour,attack,0.4964646100997925
114,4725,detour,detour,attack,0.40814223885536194
114,4757,detour,direct,attack,0.391114205121994
115,4795,direct,direct,attack,0.288887619972229
116,4812,direct,attack,direct,0.323724627494812
118,4845,attack,detour,direct,0.6167978644371033
120,4875,detour,detour,direct,0.36876171827316284
122,4899,detour,detour,direct,0.15873274207115173
125,4957,detour,detour,direct,0.17949122190475464
126,4996,detour,detour,detour,0.4543227553367615
127,5056,detour,detour,detour,0.1975974589586258
129,5097,detour,attack,detour,0.6083204746246338
129,5126,attack,attack,attack,0.39420610666275024
129,5166,attack,attack,attack,0.29544585943222046
129,5185,attack,attack,attack,0.7742143273353577
129,5231,attack,attack,attack,0.12028399109840393
129,5271,attack,direct,attack,0.559391438961029
129,5320,direct,direct,direct,0.28683412075042725
131,5354,direct,detour,direct,0.4956417679786682
133,5382,detour,direct,direct,0.4834623336791992
136,5433,direct,direct,direct,0.2877657413482666
136,5479,direct,direct,detour,0.2606823146343231
137,5500,direct,detour,detour,0.6099815368652344
139,5571,detour,direct,detour,0.6253771185874939
139,5606,direct,direct,attack,0.4842163622379303
140,5646,direct,detour,attack,0.5558504462242126
140,5689,detour,detour,attack,0.3882383108139038
141,5754,detour,detour,attack,0.17399591207504272
143,5789,detour,detour,direct,0.20425190031528473
148,5880,detour,detour,direct,0.1707502007484436
150,5923,detour,direct,detour,0.43575531244277954
150,5946,direct,detour,detour,0.26997968554496765
151,5982,detour,detour,detour,0.16100457310676575
153,6040,detour,detour,detour,0.18551093339920044
154,6113,detour,detour,attack,0.21494156122207642
154,6194,detour,detour,attack,0.21675394475460052
154,6229,detour,detour,attack,0.5122072100639343
156,6267,detour,detour,direct,0.09756530076265335
158,6310,detour,detour,direct,0.07564065605401993
161,6374,detour,detour,direct,0.20612606406211853
164,6429,detour,detour,detour,0.33394524455070496
165,6493,detour,detour,detour,0.3991823196411133
166,6527,detour,detour,detour,0.21642541885375977
167,6585,detour,detour,attack,0.175392746925354
168,6645,detour,detour,attack,0.19202642142772675
169,6692,detour,detour,attack,0.471498042345047
171,6736,detour,attack,direct,0.339121550321579
173,6767,attack,detour,direct,0.6512472629547119
175,6796,detour,detour,direct,0.28225651383399963
178,6844,detour,direct,direct,0.7415519952774048
180,6908,direct,direct,detour,0.1652107834815979
180,6925,direct,detour,detour,0.9477027654647827
180,6935,detour,detour,detour,0.5826560258865356
180,6979,detour,attack,detour,0.7846416234970093
180,7009,attack,attack,detour,0.2059212327003479
180,7052,attack,direct,attack,0.3865663409233093
181,7086,direct,attack,attack,0.9272379875183105
181,7112,attack,attack,attack,0.11657696962356567
181,7201,attack,detour,direct,1.3439316749572754
182,7228,detour,detour,direct,0.4160439372062683
185,7266,detour,detour,direct,0.4464467763900757
188,7320,detour,detour,direct,0.7624006867408752
189,7352,detour,detour,direct,0.25814658403396606
190,7392,detour,attack,detour,0.4050103425979614
191,7462,attack,attack,detour,0.13869492709636688
191,7514,attack,attack,detour,1.0502800941467285
