episode,global_step,episode_step,true_policy,new_assumed_policy
718,8795,13,chase_y,chase_x
718,8799,17,chase_y,chase_x
719,8813,4,chase_x,chase_x
720,8822,5,chase_x,chase_x
722,8830,7,chase_x,chase_x
723,8838,7,chase_x,chase_x
725,8850,4,chase_x,chase_x
726,8859,4,chase_x,chase_x
726,8865,10,chase_x,chase_x
727,8869,2,chase_x,chase_y
727,8873,6,chase_x,chase_x
728,8883,5,chase_x,chase_y
729,8889,6,chase_x,chase_x
729,8894,11,chase_x,chase_x
730,8902,5,chase_y,chase_y
732,8914,4,chase_y,chase_x
732,8921,11,chase_y,chase_x
732,8926,16,chase_y,chase_y
733,8931,1,chase_y,chase_x
733,8935,5,chase_y,chase_x
733,8939,9,chase_y,chase_x
733,8943,13,chase_y,chase_x
733,8948,18,chase_y,chase_y
733,8953,23,chase_y,chase_x
733,8959,29,chase_y,chase_x
733,8968,38,chase_y,chase_x
734,8972,2,chase_y,chase_y
734,8976,6,chase_y,chase_x
734,8980,10,chase_y,chase_x
734,8990,20,chase_y,chase_x
734,8994,24,chase_y,chase_y
735,9004,8,chase_x,chase_x
735,9008,12,chase_x,chase_x
737,9014,3,chase_x,chase_x
739,9019,3,chase_x,chase_x
741,9032,5,chase_x,chase_y
741,9036,9,chase_x,chase_x
743,9052,5,chase_x,chase_x
744,9060,3,chase_x,chase_x
744,9066,9,chase_x,chase_x
746,9081,8,chase_x,chase_x
749,9102,7,chase_y,chase_y
750,9109,2,chase_y,chase_x
750,9114,7,chase_y,chase_y
750,9118,11,chase_y,chase_x
750,9122,15,chase_y,chase_x
750,9127,20,chase_y,chase_x
750,9133,26,chase_y,chase_x
750,9137,30,chase_y,chase_x
750,9142,35,chase_y,chase_y
750,9146,39,chase_y,chase_x
751,9150,3,chase_y,chase_x
751,9155,8,chase_y,chase_y
752,9162,2,chase_y,chase_x
753,9168,1,chase_y,chase_y
754,9182,7,chase_y,chase_x
755,9186,4,chase_y,chase_x
755,9190,8,chase_y,chase_x
755,9196,14,chase_y,chase_x
755,9205,23,chase_x,chase_x
756,9212,4,chase_x,chase_x
757,9221,7,chase_x,chase_x
758,9225,4,chase_x,chase_x
758,9232,11,chase_x,chase_x
758,9236,15,chase_x,chase_x
759,9249,10,chase_x,chase_x
761,9260,6,chase_x,chase_y
761,9264,10,chase_x,chase_x
762,9272,2,chase_x,chase_y
762,9276,6,chase_x,chase_x
762,9281,11,chase_x,chase_x
762,9285,15,chase_x,chase_y
762,9290,20,chase_x,chase_x
762,9295,25,chase_x,chase_x
763,9302,4,chase_y,chase_y
764,9311,3,chase_y,chase_x
764,9315,7,chase_y,chase_x
765,9320,3,chase_y,chase_x
765,9324,7,chase_y,chase_x
765,9329,12,chase_y,chase_x
765,9333,16,chase_y,chase_x
765,9338,21,chase_y,chase_x
765,9343,26,chase_y,chase_y
766,9347,1,chase_y,chase_x
767,9351,1,chase_y,chase_y
767,9359,9,chase_y,chase_x
767,9365,15,chase_y,chase_x
