episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
0,1,1,-1.0,-1.0,chase_x,chase_x,True,4,4,False,0.7471465503109808,0.0
0,2,2,-1.0,-2.0,chase_x,chase_x,True,4,2,False,0.6609389205468027,0.9891223623133877
0,3,3,-1.0,-3.0,chase_x,chase_x,True,1,2,False,0.5662022582121405,1.9811164078800274
0,4,4,-1.0,-4.0,chase_x,chase_x,True,4,2,False,1.5581756248014829,2.9731115405384863
0,5,5,-1.0,-5.0,chase_x,chase_x,True,4,4,False,1.547787875613869,2.9648380653872413
0,6,6,-1.0,-6.0,chase_x,chase_x,True,4,4,False,1.5367943124735197,2.956530352245143
0,7,7,99.0,93.0,chase_x,chase_x,True,4,4,False,2.132198126422149,2.857098736021287
1,8,1,-1.0,-1.0,chase_x,chase_x,True,2,3,False,3.0457876891995177,3.849097106251566
1,9,2,-1.0,-2.0,chase_x,chase_x,True,3,0,False,3.9973841145502162,4.841095510586951
1,10,3,-1.0,-3.0,chase_x,chase_x,True,2,3,False,3.971599852144584,5.833034592155453
1,11,4,-1.0,-4.0,chase_x,chase_x,True,2,3,False,4.900218960272996,6.0
1,12,5,99.0,95.0,chase_x,chase_x,True,3,0,False,4.8630183686410025,6.0
2,13,1,-1.0,-1.0,chase_x,chase_x,True,2,3,False,4.855018366301992,6.0
2,14,2,-1.0,-2.0,chase_x,chase_x,True,2,3,False,4.8470183211362174,6.0
2,15,3,-1.0,-3.0,chase_x,chase_x,True,2,3,False,4.839018269001139,6.0
2,16,4,99.0,96.0,chase_x,chase_x,True,2,3,False,4.819656626475102,6.0
3,17,1,-1.0,-1.0,chase_x,chase_x,True,3,3,False,4.811609160012702,6.0
3,18,2,-1.0,-2.0,chase_x,chase_x,True,1,3,False,4.803517394600328,6.0
3,19,3,-1.0,-3.0,chase_x,chase_x,True,1,3,False,4.795320933264318,6.0
3,20,4,-1.0,-4.0,chase_x,chase_x,True,3,3,False,5.758555644967837,6.0
3,21,5,-1.0,-5.0,chase_x,chase_y,False,1,1,True,6.0,2.9959996784976894
3,22,6,-1.0,-6.0,chase_x,chase_y,False,2,2,False,5.987799563205264,3.987988274330537
3,23,7,-1.0,-7.0,chase_x,chase_y,False,2,2,False,6.0,4.979975408163144
3,24,8,-1.0,-8.0,chase_x,chase_y,False,2,4,False,5.979358748629689,5.971960492696165
3,25,9,-1.0,-9.0,chase_x,chase_x,True,4,4,True,3.0,6.0
3,26,10,-1.0,-10.0,chase_x,chase_x,True,3,2,False,3.9570387586238525,6.0
3,27,11,-1.0,-11.0,chase_x,chase_x,True,1,1,False,4.938257680307764,5.991966260869075
3,28,12,-1.0,-12.0,chase_x,chase_x,True,1,3,False,5.902953263703273,6.0
3,29,13,-1.0,-13.0,chase_x,chase_y,False,1,1,True,6.0,2.9403406697162713
3,30,14,-1.0,-14.0,chase_x,chase_y,False,2,2,False,6.0,3.9322801491260155
3,31,15,-1.0,-15.0,chase_x,chase_y,False,2,3,False,6.0,4.924280047081319
3,32,16,-2.0,-17.0,chase_x,chase_y,False,2,1,False,6.0,4.916280043611951
3,33,17,-2.0,-19.0,chase_x,chase_y,False,4,4,False,6.0,5.908279973032024
3,34,18,-2.0,-21.0,chase_x,chase_x,True,3,3,True,3.0,6.0
3,35,19,-1.0,-22.0,chase_x,chase_x,True,1,0,False,3.9765976673115198,6.0
3,36,20,-1.0,-23.0,chase_x,chase_x,True,1,3,False,4.964886566917602,6.0
3,37,21,-1.0,-24.0,chase_x,chase_x,True,3,2,False,5.808267796408452,6.0
3,38,22,-1.0,-25.0,chase_x,chase_x,True,1,0,False,5.747974354588862,6.0
3,39,23,-1.0,-26.0,chase_x,chase_x,True,3,4,True,3.0,6.0
3,40,24,-1.0,-27.0,chase_x,chase_x,True,1,0,False,3.978508359229558,6.0
3,41,25,-1.0,-28.0,chase_x,chase_x,True,4,3,False,4.951554275371168,6.0
3,42,26,-1.0,-29.0,chase_x,chase_x,True,1,4,False,5.904781231279746,6.0
3,43,27,-1.0,-30.0,chase_x,chase_y,False,1,1,True,6.0,2.995999997848286
3,44,28,-1.0,-31.0,chase_x,chase_y,False,2,0,False,6.0,3.987999997274922
3,45,29,-1.0,-32.0,chase_x,chase_y,False,2,2,False,6.0,4.9799999970295135
3,46,30,-1.0,-33.0,chase_x,chase_y,False,2,3,False,6.0,5.971999996701249
3,47,31,-1.0,-34.0,chase_x,chase_x,True,2,4,True,3.0,6.0
3,48,32,-1.0,-35.0,chase_x,chase_x,True,1,3,False,3.9559861510361474,6.0
3,49,33,-1.0,-36.0,chase_x,chase_x,True,1,1,False,4.940896275235366,5.991999977629332
3,50,34,-1.0,-37.0,chase_x,chase_x,True,3,3,False,5.784164637243141,6.0
3,51,35,-1.0,-38.0,chase_x,chase_x,True,1,0,True,3.0,6.0
3,52,36,-1.0,-39.0,chase_x,chase_x,True,4,1,False,3.9857757614876737,5.991999997823353
3,53,37,99.0,60.0,chase_x,chase_x,True,1,3,False,4.966957970088996,6.0
4,54,1,-1.0,-1.0,chase_x,chase_x,True,2,2,False,4.958957876478474,5.99171036889439
4,55,2,-1.0,-2.0,chase_x,chase_x,True,2,2,False,4.935575719799882,5.983631505756788
4,56,3,-1.0,-3.0,chase_x,chase_x,True,2,2,False,5.927323694797761,5.962603969502735
4,57,4,-1.0,-4.0,chase_x,chase_x,True,2,3,True,3.0,6.0
4,58,5,-1.0,-5.0,chase_x,chase_x,True,2,2,False,3.6769798331798884,5.991999474799497
4,59,6,99.0,94.0,chase_x,chase_x,True,4,2,False,4.358478531510374,5.979349850178898
5,60,1,-1.0,-1.0,chase_x,chase_x,True,4,1,False,4.350478525338466,6.0
5,61,2,-1.0,-2.0,chase_x,chase_x,True,4,1,False,4.3424785239757915,6.0
5,62,3,-1.0,-3.0,chase_x,chase_x,True,4,1,False,4.3344785226268066,6.0
5,63,4,-1.0,-4.0,chase_x,chase_x,True,2,1,False,4.326478518619481,6.0
