episode,opsdemo_reward,baseline_reward
0,-40.0,-40.0
1,-40.0,-40.0
2,-40.0,-40.0
3,68.0,68.0
4,-44.0,-40.0
5,-40.0,-40.0
6,-40.0,-40.0
7,-49.0,-43.0
8,-41.0,-40.0
9,-41.0,-42.0
