reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,518,768,-250
entered_small_circle,7,27,-20
intercepted_in_big_circle,0,2,-2
active_collision,14,1,13
intercepted_before_small_circle,261,2,259
