ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
direct,518,0.0,0.003861,3.934242,2,0
attack,21,0.0,0.0,10.352936,0,0
detour,261,1.0,0.007663,206.270436,0,259
