episode,opsdemo_reward,baseline_reward
0,89.0,97.0
1,99.0,87.0
2,90.0,96.0
3,94.0,93.0
4,86.0,91.0
5,96.0,92.0
6,91.0,88.0
7,93.0,93.0
8,89.0,93.0
9,93.0,93.0
10,86.0,89.0
11,93.0,93.0
12,98.0,98.0
13,73.0,81.0
14,85.0,93.0
15,94.0,90.0
16,-60.0,94.0
17,87.0,99.0
18,97.0,87.0
19,93.0,91.0
20,91.0,97.0
21,89.0,92.0
22,88.0,92.0
23,89.0,85.0
24,91.0,94.0
25,91.0,85.0
26,93.0,86.0
27,92.0,95.0
28,95.0,94.0
29,93.0,93.0
30,95.0,88.0
31,94.0,85.0
32,91.0,89.0
33,93.0,92.0
34,74.0,97.0
35,44.0,93.0
36,90.0,89.0
37,75.0,94.0
38,88.0,90.0
39,92.0,92.0
40,91.0,93.0
41,71.0,90.0
42,92.0,92.0
43,83.0,97.0
44,96.0,91.0
45,94.0,92.0
46,90.0,92.0
47,88.0,93.0
48,95.0,93.0
49,75.0,94.0
50,91.0,86.0
51,78.0,88.0
52,73.0,96.0
53,93.0,89.0
54,88.0,95.0
55,89.0,94.0
56,87.0,82.0
57,87.0,85.0
58,99.0,86.0
59,90.0,96.0
60,88.0,99.0
61,95.0,94.0
62,93.0,91.0
63,90.0,87.0
64,91.0,86.0
65,97.0,93.0
66,63.0,95.0
67,82.0,97.0
68,94.0,96.0
69,91.0,91.0
70,-57.0,92.0
71,94.0,89.0
72,96.0,87.0
73,89.0,93.0
74,93.0,93.0
75,86.0,95.0
76,91.0,91.0
77,87.0,92.0
78,87.0,92.0
79,89.0,92.0
80,81.0,94.0
81,82.0,90.0
82,96.0,84.0
83,-51.0,94.0
84,70.0,90.0
85,93.0,94.0
86,81.0,91.0
87,97.0,87.0
88,92.0,90.0
89,96.0,87.0
90,81.0,88.0
91,92.0,89.0
92,93.0,98.0
93,95.0,94.0
94,94.0,89.0
95,89.0,93.0
96,86.0,94.0
97,-52.0,91.0
98,96.0,95.0
99,94.0,91.0
100,71.0,84.0
101,95.0,86.0
102,79.0,90.0
103,77.0,88.0
104,97.0,92.0
105,99.0,92.0
106,92.0,91.0
107,96.0,90.0
108,96.0,94.0
109,91.0,93.0
110,94.0,88.0
111,92.0,86.0
112,95.0,98.0
113,91.0,90.0
114,91.0,94.0
115,92.0,96.0
116,92.0,94.0
117,94.0,92.0
118,94.0,90.0
119,-51.0,85.0
120,-76.0,88.0
121,48.0,99.0
122,97.0,95.0
123,92.0,89.0
124,92.0,93.0
125,93.0,94.0
126,93.0,96.0
127,88.0,86.0
128,98.0,71.0
129,94.0,95.0
130,94.0,93.0
131,96.0,96.0
132,94.0,92.0
133,95.0,89.0
134,91.0,92.0
135,91.0,96.0
136,86.0,87.0
137,-56.0,92.0
138,-57.0,97.0
139,94.0,84.0
140,79.0,84.0
141,93.0,87.0
142,94.0,88.0
143,98.0,88.0
144,96.0,91.0
145,94.0,89.0
146,87.0,89.0
147,92.0,95.0
148,92.0,89.0
149,90.0,86.0
150,95.0,95.0
151,89.0,93.0
152,89.0,92.0
153,89.0,92.0
154,74.0,93.0
155,-51.0,94.0
156,-59.0,93.0
157,94.0,97.0
158,85.0,93.0
159,96.0,96.0
160,92.0,97.0
161,84.0,93.0
162,87.0,93.0
163,96.0,93.0
164,77.0,82.0
165,91.0,93.0
166,78.0,92.0
167,92.0,88.0
168,98.0,96.0
169,90.0,97.0
170,73.0,96.0
171,78.0,96.0
172,90.0,94.0
173,72.0,88.0
174,97.0,94.0
175,95.0,89.0
176,90.0,85.0
177,89.0,89.0
178,88.0,95.0
179,93.0,87.0
180,96.0,84.0
181,94.0,88.0
182,87.0,91.0
183,95.0,93.0
184,93.0,98.0
185,-63.0,91.0
186,89.0,96.0
187,90.0,86.0
188,91.0,98.0
189,67.0,91.0
190,97.0,93.0
191,85.0,95.0
192,92.0,90.0
193,95.0,92.0
194,95.0,93.0
195,94.0,86.0
196,93.0,80.0
197,93.0,96.0
198,92.0,87.0
199,95.0,93.0
200,92.0,90.0
