episode,global_step,episode_step,reward,episode_reward_so_far,intruder_policy,intruder_policy_before_step,response_policy,response_policy_correct,winner,reason,collision,intruder_distance,agent_distance,interceptor_action_x,interceptor_action_y,intruder_action_x,intruder_action_y
0,1,1,-0.17175823211669922,-0.17175823211669922,direct,direct,direct,True,,running,False,1.0582194328308105,1.0733460187911987,-0.029999999329447746,-0.029999999329447746,0.006597800180315971,0.014576318673789501
0,2,2,-0.16720606446266176,-0.338964296579361,direct,direct,direct,True,,running,False,1.0422195196151733,1.046585202217102,0.029999999329447746,-0.029999999329447746,0.006597800645977259,0.014576318673789501
0,3,3,-0.16695950388908387,-0.5059238004684449,direct,direct,direct,True,,running,False,1.0262194871902466,1.041352391242981,-0.029999999329447746,0.029999999329447746,0.006597800180315971,0.014576317742466927
0,4,4,-0.15900260567665103,-0.6649264061450959,direct,direct,direct,True,,running,False,1.0102194547653198,0.997567892074585,-0.029999999329447746,-0.029999999329447746,0.006597800645977259,0.014576317742466927
0,5,5,-100.0,-100.6649264061451,direct,direct,direct,True,intruder,entered_big_circle,False,0.9942194819450378,1.0093592405319214,0.029999999329447746,0.029999999329447746,0.006597801111638546,0.014576318673789501
1,6,1,-0.21485275983810426,-0.21485275983810426,direct,direct,direct,True,,running,False,1.399442434310913,1.3741244077682495,0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,7,2,-0.2068852758407593,-0.4217380356788636,direct,direct,direct,True,,running,False,1.3834424018859863,1.330286979675293,0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,8,3,-0.20680217504501347,-0.6285402107238771,direct,direct,direct,True,,running,False,1.3674423694610596,1.325871467590332,0.029999999329447746,-0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,9,4,-0.2068454122543335,-0.8353856229782106,direct,direct,direct,True,,running,False,1.3514423370361328,1.3220876455307007,0.029999999329447746,-0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,10,5,-0.20701603651046752,-1.0424016594886782,direct,direct,direct,True,,running,False,1.335442304611206,1.3189407587051392,0.029999999329447746,-0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,11,6,-0.20984309673309326,-1.2522447562217716,direct,direct,direct,True,,running,False,1.3194422721862793,1.3290760517120361,0.005890507251024246,-0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,12,7,-0.21021709203720093,-1.4624618482589724,direct,direct,direct,True,,running,False,1.3034422397613525,1.3269460201263428,0.029999999329447746,-0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,13,8,-0.20257244467735291,-1.6650342929363253,direct,direct,direct,True,,running,False,1.2874423265457153,1.2847228050231934,0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,14,9,-0.19497358560562134,-1.8600078785419467,direct,direct,direct,True,,running,False,1.271442174911499,1.2427284717559814,0.029999999329447746,0.029999999329447746,-0.007182586006820202,-0.014297218061983585
1,15,10,-0.18742533087730412,-2.0474332094192507,direct,direct,direct,True,,running,False,1.2554422616958618,1.2009872198104858,0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,16,11,-0.18817662954330447,-2.235609838962555,direct,direct,direct,True,,running,False,1.2394421100616455,1.2007436752319336,0.029999999329447746,-0.029999999329447746,-0.007182586006820202,-0.014297218061983585
1,17,12,-0.18276448607444765,-2.4183743250370027,direct,direct,direct,True,,running,False,1.2234421968460083,1.1696829795837402,-0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297219924628735
1,18,13,-0.1752945101261139,-2.5936688351631165,direct,direct,direct,True,,running,False,1.2074421644210815,1.1283330917358398,0.029999999329447746,0.029999999329447746,-0.007182586006820202,-0.014297218061983585
1,19,14,-0.17811139583587648,-2.771780230998993,direct,direct,direct,True,,running,False,1.1914420127868652,1.1384174823760986,-0.029999999329447746,-0.029999999329447746,-0.007182586006820202,-0.014297218061983585
1,20,15,-0.1809531366825104,-2.9527333676815033,direct,direct,direct,True,,running,False,1.175442099571228,1.1486262083053589,-0.029999999329447746,-0.029999999329447746,-0.0071825869381427765,-0.014297219924628735
1,21,16,-0.1756491041183472,-3.1283824717998505,direct,direct,direct,True,,running,False,1.1594419479370117,1.1181060075759888,-0.029999999329447746,0.029999999329447746,-0.007182586006820202,-0.014297218061983585
1,22,17,-0.16758806467056275,-3.2959705364704135,direct,direct,direct,True,,running,False,1.143441915512085,1.073800802230835,-0.000841289758682251,0.029999999329447746,-0.0071825869381427765,-0.014297219924628735
1,23,18,-0.17051476001739502,-3.4664852964878086,direct,direct,direct,True,,running,False,1.1274418830871582,1.0844342708587646,-0.029999999329447746,-0.029999999329447746,-0.0071825869381427765,-0.014297219924628735
1,24,19,-0.16289624333381655,-3.629381539821625,direct,direct,direct,True,,running,False,1.111441969871521,1.042341709136963,0.029999999329447746,0.029999999329447746,-0.0071825869381427765,-0.014297219924628735
1,25,20,-0.16354599952697754,-3.792927539348603,direct,direct,direct,True,,running,False,1.0954418182373047,1.0415904521942139,0.029999999329447746,-0.029999999329447746,-0.007182586006820202,-0.014297218061983585
1,26,21,-0.16435972809791566,-3.9572872674465183,direct,direct,direct,True,,running,False,1.0794419050216675,1.0416591167449951,0.029999999329447746,-0.029999999329447746,-0.0071825869381427765,-0.014297219924628735
1,27,22,-0.16533735752105713,-4.1226246249675755,direct,direct,direct,True,,running,False,1.0634417533874512,1.0425472259521484,0.029999999329447746,-0.029999999329447746,-0.007182586472481489,-0.014297218061983585
1,28,23,-0.16805152058601383,-4.290676145553589,direct,direct,direct,True,,running,False,1.047441840171814,1.0521180629730225,-0.029999999329447746,-0.029999999329447746,-0.0071825869381427765,-0.014297219924628735
1,29,24,-0.1625180995464325,-4.453194245100022,direct,direct,direct,True,,running,False,1.0314418077468872,1.0204509496688843,-0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297218061983585
1,30,25,-0.15516003727912903,-4.608354282379151,direct,direct,direct,True,,running,False,1.0154417753219604,0.9796606302261353,0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297218061983585
1,31,26,-100.0,-104.60835428237915,direct,direct,direct,True,intruder,entered_big_circle,False,0.9994416832923889,0.9392998814582825,0.029999999329447746,0.029999999329447746,-0.007182586472481489,-0.014297218061983585
