episode,opsdemo_reward,baseline_reward
0,93.0,92.0
1,95.0,94.0
2,96.0,96.0
3,93.0,89.0
4,95.0,88.0
5,95.0,91.0
6,94.0,87.0
7,95.0,93.0
8,86.0,95.0
9,92.0,87.0
10,95.0,93.0
11,89.0,95.0
12,91.0,87.0
13,92.0,92.0
14,57.0,89.0
15,89.0,88.0
16,79.0,89.0
17,75.0,88.0
18,57.0,92.0
19,93.0,92.0
20,96.0,89.0
21,95.0,96.0
22,85.0,88.0
23,86.0,88.0
24,82.0,87.0
25,90.0,85.0
26,94.0,92.0
27,95.0,93.0
28,92.0,88.0
29,90.0,90.0
30,86.0,95.0
31,92.0,94.0
32,-54.0,91.0
33,-56.0,92.0
34,98.0,93.0
35,94.0,95.0
36,91.0,92.0
37,81.0,89.0
38,93.0,91.0
39,92.0,92.0
40,84.0,88.0
41,93.0,85.0
42,86.0,96.0
43,85.0,96.0
44,89.0,91.0
45,95.0,98.0
46,92.0,86.0
47,72.0,94.0
48,92.0,91.0
49,-42.0,96.0
50,97.0,95.0
51,90.0,92.0
52,89.0,92.0
53,85.0,89.0
54,88.0,92.0
55,92.0,98.0
56,94.0,90.0
57,94.0,88.0
58,89.0,97.0
59,96.0,85.0
60,90.0,93.0
61,96.0,92.0
62,98.0,96.0
63,91.0,96.0
64,92.0,82.0
65,89.0,88.0
66,-44.0,93.0
67,90.0,84.0
68,88.0,93.0
69,84.0,95.0
70,93.0,87.0
71,92.0,89.0
72,94.0,85.0
73,89.0,94.0
74,94.0,93.0
75,90.0,93.0
76,87.0,96.0
77,88.0,90.0
78,97.0,92.0
79,89.0,94.0
80,94.0,96.0
81,97.0,96.0
82,-47.0,94.0
83,92.0,90.0
84,98.0,89.0
85,63.0,93.0
86,95.0,88.0
87,90.0,93.0
88,65.0,97.0
89,93.0,86.0
90,95.0,95.0
91,88.0,98.0
92,91.0,86.0
93,93.0,93.0
94,91.0,96.0
95,93.0,92.0
96,92.0,90.0
97,95.0,93.0
98,97.0,87.0
99,93.0,92.0
100,92.0,96.0
101,94.0,84.0
102,-48.0,84.0
103,92.0,94.0
104,63.0,75.0
105,96.0,87.0
106,79.0,86.0
107,77.0,96.0
108,76.0,93.0
109,95.0,90.0
110,95.0,89.0
111,94.0,85.0
112,93.0,90.0
113,90.0,83.0
114,93.0,91.0
115,91.0,86.0
116,92.0,95.0
117,90.0,94.0
118,86.0,92.0
119,88.0,89.0
120,91.0,87.0
121,-56.0,92.0
122,-48.0,95.0
123,82.0,87.0
124,91.0,96.0
125,92.0,92.0
126,91.0,93.0
127,91.0,96.0
128,93.0,94.0
129,84.0,92.0
130,-46.0,93.0
131,97.0,89.0
132,87.0,95.0
133,95.0,92.0
134,85.0,93.0
135,95.0,93.0
136,86.0,98.0
137,60.0,95.0
138,90.0,83.0
139,91.0,87.0
140,89.0,98.0
141,91.0,85.0
142,95.0,95.0
143,91.0,91.0
144,93.0,92.0
145,91.0,93.0
146,90.0,88.0
147,93.0,92.0
148,72.0,88.0
149,83.0,90.0
150,90.0,92.0
151,93.0,91.0
152,45.0,88.0
153,98.0,91.0
154,98.0,94.0
155,72.0,88.0
156,96.0,97.0
157,91.0,84.0
158,84.0,92.0
159,98.0,89.0
160,90.0,88.0
161,93.0,91.0
162,94.0,86.0
163,96.0,86.0
164,92.0,90.0
165,91.0,92.0
166,91.0,96.0
167,81.0,91.0
168,90.0,92.0
169,94.0,92.0
170,90.0,93.0
171,99.0,95.0
172,-67.0,86.0
173,65.0,93.0
174,93.0,91.0
175,88.0,87.0
176,89.0,92.0
177,90.0,84.0
178,99.0,94.0
