episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,predator_a_action,predator_b_action
0,1,1,-1.0,-1.0,chase_x,2,4
0,2,2,-1.0,-2.0,chase_x,4,0
0,3,3,-1.0,-3.0,chase_x,4,1
0,4,4,-1.0,-4.0,chase_x,1,3
0,5,5,-1.0,-5.0,chase_x,1,0
0,6,6,-1.0,-6.0,chase_x,1,2
0,7,7,-1.0,-7.0,chase_x,0,4
0,8,8,-1.0,-8.0,chase_x,2,1
0,9,9,-1.0,-9.0,chase_x,3,4
0,10,10,-1.0,-10.0,chase_x,2,4
0,11,11,-1.0,-11.0,chase_x,3,3
0,12,12,-1.0,-12.0,chase_x,1,4
0,13,13,-1.0,-13.0,chase_x,4,0
0,14,14,-1.0,-14.0,chase_x,1,0
0,15,15,-1.0,-15.0,chase_x,2,0
0,16,16,-1.0,-16.0,chase_x,2,4
0,17,17,-1.0,-17.0,chase_x,2,1
0,18,18,-1.0,-18.0,chase_x,3,3
0,19,19,-1.0,-19.0,chase_x,3,2
0,20,20,-1.0,-20.0,chase_x,4,4
0,21,21,-1.0,-21.0,chase_x,4,4
0,22,22,-1.0,-22.0,chase_x,0,4
0,23,23,-1.0,-23.0,chase_x,3,4
0,24,24,-1.0,-24.0,chase_x,1,1
0,25,25,-1.0,-25.0,chase_x,2,0
0,26,26,-1.0,-26.0,chase_x,4,4
0,27,27,-1.0,-27.0,chase_x,4,4
0,28,28,-1.0,-28.0,chase_x,2,2
0,29,29,-1.0,-29.0,chase_x,4,4
0,30,30,-1.0,-30.0,chase_x,2,4
0,31,31,-1.0,-31.0,chase_x,2,3
0,32,32,-1.0,-32.0,chase_x,1,2
0,33,33,-1.0,-33.0,chase_x,3,2
0,34,34,-1.0,-34.0,chase_x,2,2
0,35,35,-1.0,-35.0,chase_x,0,3
0,36,36,-1.0,-36.0,chase_x,3,1
0,37,37,-1.0,-37.0,chase_x,4,3
0,38,38,-1.0,-38.0,chase_x,1,2
0,39,39,-1.0,-39.0,chase_x,1,0
0,40,40,-1.0,-40.0,chase_x,1,3
1,41,1,-1.0,-1.0,chase_x,3,1
1,42,2,-1.0,-2.0,chase_x,0,3
1,43,3,-1.0,-3.0,chase_x,2,4
1,44,4,-1.0,-4.0,chase_x,3,1
1,45,5,-1.0,-5.0,chase_x,0,0
1,46,6,-1.0,-6.0,chase_x,2,1
1,47,7,-1.0,-7.0,chase_x,4,2
1,48,8,-1.0,-8.0,chase_x,0,1
1,49,9,-1.0,-9.0,chase_x,1,4
1,50,10,-1.0,-10.0,chase_x,0,0
1,51,11,-1.0,-11.0,chase_x,1,3
1,52,12,-1.0,-12.0,chase_x,1,1
1,53,13,-1.0,-13.0,chase_x,3,1
1,54,14,-1.0,-14.0,chase_x,1,2
1,55,15,-1.0,-15.0,chase_x,1,2
1,56,16,-1.0,-16.0,chase_x,0,0
1,57,17,-1.0,-17.0,chase_x,1,4
1,58,18,-1.0,-18.0,chase_x,2,2
1,59,19,-1.0,-19.0,chase_x,1,2
1,60,20,-1.0,-20.0,chase_x,0,3
1,61,21,-1.0,-21.0,chase_x,3,4
1,62,22,-1.0,-22.0,chase_x,4,0
1,63,23,-1.0,-23.0,chase_x,1,2
1,64,24,-1.0,-24.0,chase_x,1,1
1,65,25,-1.0,-25.0,chase_x,0,0
1,66,26,-1.0,-26.0,chase_x,2,0
1,67,27,-1.0,-27.0,chase_x,3,4
1,68,28,-1.0,-28.0,chase_x,2,1
1,69,29,-1.0,-29.0,chase_x,4,4
1,70,30,-1.0,-30.0,chase_x,4,1
1,71,31,-1.0,-31.0,chase_x,2,3
1,72,32,-1.0,-32.0,chase_x,0,0
1,73,33,-1.0,-33.0,chase_x,1,3
1,74,34,-1.0,-34.0,chase_x,0,0
1,75,35,-1.0,-35.0,chase_x,2,2
1,76,36,-1.0,-36.0,chase_x,4,1
1,77,37,-1.0,-37.0,chase_x,2,2
1,78,38,-1.0,-38.0,chase_x,4,0
1,79,39,-1.0,-39.0,chase_x,0,1
1,80,40,-1.0,-40.0,chase_x,0,0
2,81,1,-1.0,-1.0,chase_x,1,3
2,82,2,-1.0,-2.0,chase_x,2,4
2,83,3,-1.0,-3.0,chase_x,0,2
