ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,16,0.0,0.0625,-74.008486,1,0
direct,541,0.005545,0.011091,2.798045,5,2
detour,243,1.0,0.012346,224.938083,0,240
