reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,545,708,-163
entered_small_circle,3,7,-4
passive_intercept,1,0,1
intercepted_in_big_circle,2,0,2
active_collision,17,9,8
intercepted_before_small_circle,232,76,156
