ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
direct,547,0.003656,0.095064,-17.176486,52,2
attack,21,0.047619,0.047619,2.340059,1,1
detour,232,1.0,0.099138,203.51172,0,209
