episode,opsdemo_reward,baseline_reward
0,93.0,92.0
1,95.0,94.0
2,96.0,96.0
3,60.0,89.0
4,94.0,88.0
5,92.0,91.0
6,96.0,87.0
7,97.0,93.0
8,97.0,95.0
9,93.0,87.0
10,84.0,93.0
11,-60.0,95.0
12,70.0,87.0
13,89.0,92.0
14,80.0,89.0
15,89.0,88.0
16,90.0,89.0
17,93.0,88.0
18,94.0,92.0
19,93.0,92.0
20,96.0,89.0
21,95.0,96.0
22,89.0,88.0
23,96.0,88.0
24,91.0,87.0
25,91.0,85.0
26,88.0,92.0
27,91.0,93.0
28,-55.0,88.0
29,95.0,90.0
30,95.0,95.0
31,97.0,94.0
32,92.0,91.0
33,57.0,92.0
34,99.0,93.0
35,97.0,95.0
36,58.0,92.0
37,87.0,89.0
38,95.0,91.0
39,89.0,92.0
40,94.0,88.0
41,91.0,85.0
42,94.0,96.0
43,93.0,96.0
44,94.0,91.0
45,88.0,98.0
46,89.0,86.0
47,-51.0,94.0
48,97.0,91.0
49,-50.0,96.0
50,94.0,95.0
51,69.0,92.0
52,91.0,92.0
53,91.0,89.0
54,93.0,92.0
55,95.0,98.0
56,92.0,90.0
57,94.0,88.0
58,92.0,97.0
59,89.0,85.0
60,93.0,93.0
61,88.0,92.0
62,89.0,96.0
63,-43.0,96.0
64,90.0,82.0
65,-44.0,88.0
66,98.0,93.0
67,80.0,84.0
68,91.0,93.0
69,92.0,95.0
70,96.0,87.0
71,92.0,89.0
72,84.0,85.0
73,93.0,94.0
74,95.0,93.0
75,89.0,93.0
76,88.0,96.0
77,99.0,90.0
78,93.0,92.0
79,92.0,94.0
80,-59.0,96.0
81,90.0,96.0
82,66.0,94.0
83,69.0,90.0
84,86.0,89.0
85,92.0,93.0
86,86.0,88.0
87,97.0,93.0
88,78.0,97.0
89,94.0,86.0
90,95.0,95.0
91,92.0,98.0
92,90.0,86.0
93,91.0,93.0
94,-57.0,96.0
95,74.0,92.0
96,92.0,90.0
97,95.0,93.0
98,49.0,87.0
99,92.0,92.0
100,91.0,96.0
101,90.0,84.0
102,89.0,84.0
103,84.0,94.0
104,91.0,75.0
105,74.0,87.0
106,76.0,86.0
107,-61.0,96.0
108,-58.0,93.0
109,98.0,90.0
110,91.0,89.0
111,93.0,85.0
112,90.0,90.0
113,92.0,83.0
114,88.0,91.0
115,85.0,86.0
116,92.0,95.0
117,90.0,94.0
118,93.0,92.0
119,90.0,89.0
120,84.0,87.0
121,82.0,92.0
122,-59.0,95.0
123,46.0,87.0
124,84.0,96.0
125,94.0,92.0
126,82.0,93.0
127,93.0,96.0
128,92.0,94.0
129,91.0,92.0
130,94.0,93.0
131,94.0,89.0
132,92.0,95.0
133,96.0,92.0
134,93.0,93.0
135,88.0,93.0
136,95.0,98.0
137,83.0,95.0
138,-51.0,83.0
139,95.0,87.0
140,94.0,98.0
141,66.0,85.0
142,89.0,95.0
143,91.0,91.0
144,86.0,92.0
145,92.0,93.0
146,91.0,88.0
147,93.0,92.0
148,89.0,88.0
149,93.0,90.0
150,95.0,92.0
151,-58.0,91.0
152,93.0,88.0
153,-44.0,91.0
154,96.0,94.0
155,74.0,88.0
156,88.0,97.0
157,94.0,84.0
158,88.0,92.0
159,93.0,89.0
160,92.0,88.0
161,95.0,91.0
162,92.0,86.0
163,94.0,86.0
164,93.0,90.0
165,88.0,92.0
166,91.0,96.0
167,93.0,91.0
168,71.0,92.0
169,89.0,92.0
170,-52.0,93.0
171,-59.0,95.0
172,96.0,86.0
173,87.0,93.0
174,93.0,91.0
175,98.0,87.0
176,94.0,92.0
177,90.0,84.0
178,91.0,94.0
