episode,global_step,episode_step,reward,intruder_policy,winner,reason
5,144,25,-0.17509316325187682,direct,,running
5,145,26,-0.17421082258224488,direct,,running
5,146,27,-150.0,direct,intruder,entered_big_circle
6,147,1,-0.2572615170478821,direct,,running
6,148,2,-0.24902901172637942,direct,,running
6,149,3,-0.24096559286117553,direct,,running
6,150,4,-0.2330864143371582,direct,,running
6,151,5,-0.2254081153869629,direct,,running
6,152,6,-0.21794898867607115,direct,,running
6,153,7,-0.2107291066646576,direct,,running
6,154,8,-0.20377036452293396,direct,,running
6,155,9,-0.19709662437438963,direct,,running
6,156,10,-0.1907337975502014,direct,,running
6,157,11,-0.18470976948738096,direct,,running
6,158,12,-150.0,direct,intruder,entered_big_circle
7,159,1,-0.31351512908935547,direct,,running
7,160,2,-0.3028108811378479,detour,,running
7,161,3,-0.29219014644622804,detour,,running
7,162,4,-0.2816611814498901,detour,,running
7,163,5,-0.2712329626083374,detour,,running
7,164,6,-0.2609155821800232,detour,,running
7,165,7,-0.25072030782699584,detour,,running
7,166,8,-0.2406595706939697,detour,,running
7,167,9,-0.23074728012084958,detour,,running
7,168,10,-0.2209988927841186,detour,,running
7,169,11,-0.21143182754516598,detour,,running
7,170,12,-0.20206529259681705,detour,,running
7,171,13,-0.19292092084884643,detour,,running
7,172,14,-0.18402269959449766,detour,,running
7,173,15,-0.17620577216148375,detour,,running
7,174,16,-0.16746971368789676,detour,,running
7,175,17,-0.15904098987579346,detour,,running
7,176,18,-0.1509546399116516,detour,,running
7,177,19,-0.14259692072868346,detour,,running
7,178,20,-0.13426076650619506,detour,,running
7,179,21,-0.12595024943351746,detour,,running
7,180,22,-0.11767005681991577,detour,,running
7,181,23,-0.10942573547363281,detour,,running
7,182,24,-0.10122385621070863,detour,,running
7,183,25,-0.09307217359542846,detour,,running
7,184,26,-0.08497992873191834,detour,,running
7,185,27,-0.07480359971523286,detour,,running
7,186,28,-0.06647458732128143,detour,,running
7,187,29,-0.05563504993915558,detour,,running
7,188,30,-0.046962097883224474,detour,,running
7,189,31,-0.038342554569244375,detour,,running
7,190,32,-0.029792876243591296,detour,,running
7,191,33,-0.02146782398223876,detour,,running
7,192,34,-0.011104131340980511,detour,,running
7,193,35,-0.0032517686486244063,detour,,running
7,194,36,0.004143211245536807,detour,,running
7,195,37,0.010134338438510901,detour,,running
7,196,38,0.01768631815910339,detour,,running
7,197,39,0.02062635153532029,detour,,running
7,198,40,0.020424728989601133,detour,,running
7,199,41,0.02743046551942826,detour,,running
7,200,42,0.03372001558542252,detour,,running
7,201,43,0.03876728400588036,detour,,running
7,202,44,120.0,detour,interceptor,intercepted_before_small_circle
8,203,1,-0.29334440231323244,detour,,running
8,204,2,-0.28586541414260863,detour,,running
8,205,3,-0.27596732139587404,detour,,running
8,206,4,-0.2660614705085754,detour,,running
8,207,5,-0.25614861488342283,detour,,running
8,208,6,-0.24622957944869994,detour,,running
8,209,7,-0.2363054919242859,detour,,running
8,210,8,-0.22637737989425655,detour,,running
8,211,9,-0.21644662737846376,detour,,running
8,212,10,-0.2065147411823273,detour,,running
8,213,11,-0.19658349514007567,detour,,running
8,214,12,-0.1866550540924072,detour,,running
8,215,13,-0.17673167705535886,detour,,running
8,216,14,-0.16681634783744811,detour,,running
8,217,15,-0.15691226601600647,detour,,running
8,218,16,-0.1470234262943268,detour,,running
8,219,17,-0.13715442538261413,detour,,running
8,220,18,-0.12731078267097473,detour,,running
8,221,19,-0.1174991762638092,detour,,running
8,222,20,-0.10772764205932618,detour,,running
8,223,21,-0.09800586938858033,detour,,running
8,224,22,-0.0883458697795868,detour,,running
8,225,23,-0.07876244723796844,detour,,running
8,226,24,-0.06927411675453188,detour,,running
8,227,25,-0.059904170632362364,detour,,running
8,228,26,-0.05068233251571655,detour,,running
