episode,opsdemo_reward,response_policy_accuracy,baseline_reward
0,93.0,1.0,92.0
1,95.0,1.0,94.0
2,96.0,1.0,96.0
3,93.0,1.0,89.0
4,95.0,1.0,88.0
5,95.0,1.0,91.0
6,94.0,1.0,87.0
7,95.0,1.0,93.0
8,86.0,1.0,95.0
9,92.0,1.0,87.0
10,95.0,1.0,93.0
11,89.0,1.0,95.0
12,91.0,1.0,87.0
13,92.0,1.0,92.0
14,76.0,0.5909090909090909,89.0
15,92.0,1.0,88.0
16,95.0,1.0,89.0
17,91.0,1.0,88.0
18,86.0,1.0,92.0
19,89.0,1.0,92.0
20,94.0,1.0,89.0
21,94.0,1.0,96.0
22,93.0,1.0,90.0
23,91.0,1.0,94.0
24,81.0,0.5882352941176471,94.0
25,86.0,1.0,94.0
26,88.0,1.0,88.0
27,92.0,1.0,94.0
28,96.0,1.0,87.0
29,94.0,1.0,89.0
30,94.0,1.0,95.0
31,95.0,1.0,93.0
32,99.0,1.0,94.0
33,91.0,1.0,93.0
34,93.0,1.0,98.0
35,94.0,1.0,88.0
36,91.0,1.0,93.0
37,81.0,0.3125,89.0
38,94.0,1.0,88.0
39,93.0,1.0,97.0
40,93.0,1.0,88.0
41,87.0,1.0,94.0
42,96.0,1.0,89.0
43,95.0,1.0,90.0
44,92.0,1.0,96.0
45,94.0,1.0,93.0
46,97.0,1.0,92.0
47,86.0,1.0,87.0
48,94.0,1.0,84.0
49,77.0,0.55,96.0
50,90.0,1.0,93.0
51,94.0,1.0,91.0
52,94.0,1.0,85.0
53,94.0,1.0,86.0
54,92.0,1.0,96.0
55,90.0,1.0,92.0
56,85.0,1.0,91.0
57,97.0,1.0,91.0
58,87.0,1.0,93.0
59,90.0,1.0,91.0
60,80.0,0.0,89.0
61,95.0,0.8,87.0
62,90.0,1.0,93.0
63,92.0,1.0,91.0
64,91.0,1.0,95.0
65,92.0,1.0,87.0
66,92.0,1.0,92.0
67,92.0,1.0,91.0
68,94.0,1.0,94.0
69,91.0,1.0,94.0
70,97.0,1.0,89.0
71,94.0,1.0,91.0
72,95.0,1.0,92.0
73,77.0,0.5,94.0
74,91.0,1.0,92.0
75,91.0,1.0,93.0
76,93.0,1.0,90.0
77,89.0,1.0,91.0
78,94.0,1.0,94.0
79,90.0,1.0,95.0
80,89.0,1.0,94.0
81,92.0,1.0,76.0
82,91.0,1.0,93.0
83,79.0,0.55,93.0
84,92.0,1.0,90.0
85,88.0,1.0,88.0
86,92.0,1.0,94.0
87,95.0,1.0,88.0
88,94.0,1.0,92.0
89,89.0,1.0,96.0
90,92.0,1.0,92.0
91,92.0,1.0,92.0
92,91.0,1.0,98.0
93,98.0,1.0,93.0
94,93.0,1.0,96.0
95,76.0,0.55,92.0
96,95.0,1.0,90.0
97,89.0,1.0,93.0
98,96.0,1.0,87.0
99,93.0,1.0,92.0
100,93.0,1.0,96.0
101,93.0,1.0,84.0
102,92.0,1.0,84.0
103,91.0,1.0,94.0
104,93.0,1.0,75.0
105,95.0,1.0,87.0
106,90.0,1.0,86.0
107,72.0,0.34782608695652173,96.0
108,95.0,1.0,93.0
109,95.0,1.0,90.0
110,97.0,1.0,89.0
111,93.0,1.0,85.0
112,93.0,1.0,90.0
113,94.0,1.0,83.0
114,93.0,1.0,91.0
115,93.0,1.0,86.0
116,94.0,1.0,95.0
117,95.0,1.0,94.0
118,92.0,1.0,92.0
119,91.0,1.0,89.0
120,76.0,0.5652173913043478,87.0
121,94.0,1.0,92.0
122,94.0,1.0,95.0
123,95.0,1.0,87.0
124,91.0,1.0,96.0
125,91.0,1.0,92.0
126,89.0,1.0,93.0
127,93.0,1.0,96.0
128,93.0,1.0,94.0
129,91.0,1.0,92.0
130,90.0,1.0,93.0
131,95.0,0.8,89.0
132,81.0,0.3684210526315789,95.0
133,98.0,1.0,92.0
134,93.0,1.0,93.0
135,89.0,1.0,93.0
136,95.0,1.0,98.0
137,89.0,1.0,95.0
138,95.0,1.0,84.0
139,99.0,1.0,87.0
140,91.0,1.0,98.0
141,94.0,1.0,85.0
142,83.0,1.0,95.0
143,95.0,1.0,91.0
144,82.0,0.21428571428571427,92.0
145,92.0,1.0,93.0
146,95.0,1.0,88.0
147,90.0,1.0,92.0
148,86.0,1.0,82.0
149,87.0,1.0,91.0
150,87.0,1.0,85.0
151,89.0,1.0,91.0
152,89.0,1.0,89.0
153,80.0,0.375,91.0
154,95.0,1.0,89.0
155,97.0,1.0,89.0
156,89.0,1.0,86.0
157,93.0,1.0,86.0
158,98.0,1.0,87.0
159,92.0,1.0,89.0
160,93.0,1.0,88.0
161,89.0,1.0,88.0
162,93.0,1.0,93.0
163,90.0,1.0,89.0
164,93.0,1.0,94.0
165,90.0,1.0,85.0
166,81.0,0.3684210526315789,74.0
167,92.0,1.0,96.0
168,90.0,1.0,93.0
169,95.0,1.0,88.0
170,91.0,1.0,97.0
171,98.0,1.0,93.0
172,92.0,1.0,95.0
173,93.0,1.0,92.0
174,96.0,1.0,96.0
175,94.0,1.0,86.0
176,93.0,1.0,92.0
177,96.0,1.0,92.0
178,97.0,1.0,79.0
179,95.0,1.0,94.0
180,94.0,1.0,88.0
181,87.0,0.0,96.0
182,79.0,0.6190476190476191,83.0
183,90.0,1.0,89.0
184,96.0,1.0,94.0
185,94.0,1.0,96.0
186,97.0,1.0,89.0
187,96.0,1.0,88.0
188,95.0,1.0,92.0
189,94.0,1.0,92.0
190,93.0,1.0,84.0
191,95.0,1.0,89.0
192,88.0,1.0,89.0
193,91.0,1.0,94.0
194,82.0,0.26666666666666666,89.0
195,90.0,1.0,95.0
196,97.0,1.0,95.0
197,96.0,1.0,89.0
198,91.0,1.0,84.0
199,89.0,1.0,88.0
200,91.0,1.0,92.0
201,93.0,1.0,95.0
202,94.0,1.0,87.0
203,92.0,1.0,89.0
204,88.0,1.0,91.0
205,76.0,0.3333333333333333,91.0
206,91.0,0.6666666666666666,92.0
207,91.0,1.0,95.0
208,96.0,1.0,89.0
209,85.0,1.0,88.0
210,93.0,1.0,86.0
211,92.0,1.0,93.0
212,87.0,1.0,89.0
213,91.0,1.0,87.0
214,93.0,1.0,92.0
215,97.0,1.0,85.0
216,71.0,0.4782608695652174,96.0
217,89.0,1.0,93.0
218,96.0,1.0,96.0
219,95.0,1.0,94.0
220,87.0,1.0,95.0
