ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,34,0.0,0.0,-107.460866,0,0
direct,518,0.0,0.0,11.895259,0,0
detour,248,1.0,0.008065,253.608424,0,246
