reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,518,755,-237
active_collision,22,36,-14
intercepted_in_big_circle,0,2,-2
entered_small_circle,12,7,5
intercepted_before_small_circle,248,0,248
