episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
10,67,1,-1.0,-1.0,chase_x,chase_x,True,3,4,False,5.36329329571973,8.0
10,68,2,-1.0,-2.0,chase_x,chase_x,True,3,4,False,5.237333796612193,8.0
10,69,3,-1.0,-3.0,chase_x,chase_x,True,2,0,False,5.97325221071878,8.0
10,70,4,-1.0,-4.0,chase_x,chase_x,True,2,4,False,6.867871955659365,8.0
10,71,5,99.0,95.0,chase_x,chase_x,True,3,1,False,7.660046923291793,8.0
11,72,1,-1.0,-1.0,chase_x,chase_x,True,3,3,True,4.0,8.0
11,73,2,-1.0,-2.0,chase_x,chase_x,True,2,2,False,4.914635925506794,7.919999574335991
11,74,3,-1.0,-3.0,chase_x,chase_x,True,3,1,False,5.816344792639328,8.0
11,75,4,-1.0,-4.0,chase_x,chase_x,True,3,4,False,5.726976541183938,8.0
11,76,5,-1.0,-5.0,chase_x,chase_x,True,2,4,False,6.526372399438918,8.0
11,77,6,-1.0,-6.0,chase_x,chase_x,True,2,0,False,7.405380061297031,8.0
11,78,7,-1.0,-7.0,chase_x,chase_x,True,3,4,True,4.0,8.0
11,79,8,-1.0,-8.0,chase_x,chase_x,True,3,2,False,4.888382899119263,8.0
11,80,9,-1.0,-9.0,chase_x,chase_x,True,3,4,False,5.797271731030948,8.0
11,81,10,-1.0,-10.0,chase_x,chase_x,True,3,1,False,6.707927116155983,8.0
11,82,11,99.0,89.0,chase_x,chase_x,True,3,3,False,6.624275424613682,7.919971868293764
12,83,1,-1.0,-1.0,chase_x,chase_x,True,1,2,False,6.870735306002425,8.0
12,84,2,-1.0,-2.0,chase_x,chase_x,True,1,2,False,7.111142662197574,8.0
12,85,3,-1.0,-3.0,chase_x,chase_x,True,3,3,True,4.0,8.0
12,86,4,-1.0,-4.0,chase_x,chase_x,True,1,2,False,4.740719252306831,8.0
12,87,5,-1.0,-5.0,chase_x,chase_x,True,1,0,False,5.655252550138188,8.0
12,88,6,-1.0,-6.0,chase_x,chase_x,True,1,3,False,6.372965888704017,8.0
