reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,508,796,-288
passive_intercept,1,0,1
intercepted_in_big_circle,3,0,3
entered_small_circle,9,3,6
active_collision,27,1,26
intercepted_before_small_circle,252,0,252
