ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,16,0.0,0.125,-58.31024,2,0
direct,528,0.007576,0.13447,-27.879181,71,4
detour,256,1.0,0.1875,178.087733,0,208
