ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,16,0.0,0.0,4.53242,0,0
direct,520,0.009615,0.0,10.429313,0,5
detour,264,1.0,0.0,249.721409,0,264
