episode,global_step,from_policy,to_policy,true_policy,normalized_error
3,40,direct,detour,direct,0.4207788109779358
4,61,detour,attack,direct,0.6252909302711487
5,102,attack,attack,direct,0.2565760612487793
8,127,attack,direct,direct,0.26519837975502014
9,150,direct,attack,direct,0.5097323060035706
10,176,attack,attack,detour,0.17082661390304565
10,222,attack,attack,detour,0.1932303011417389
10,231,attack,attack,detour,1.2270712852478027
10,243,attack,detour,detour,0.6197515726089478
10,250,detour,attack,detour,1.244434118270874
10,261,attack,detour,detour,0.5227487683296204
10,269,detour,attack,detour,1.398210048675537
10,286,attack,direct,detour,0.8330783247947693
10,294,direct,attack,detour,1.9538447856903076
10,311,attack,direct,detour,1.4402283430099487
10,322,direct,attack,attack,1.005982756614685
10,378,attack,attack,attack,0.3336505889892578
10,419,attack,attack,attack,0.2697145938873291
10,456,attack,direct,attack,0.6869252920150757
10,479,direct,direct,attack,0.2754603624343872
10,504,direct,attack,direct,0.5809226036071777
12,521,attack,attack,direct,0.2781543433666229
14,544,attack,detour,direct,0.4383724629878998
16,572,detour,attack,direct,0.3750186562538147
17,600,attack,attack,direct,0.1674235761165619
19,640,attack,attack,detour,0.5230527520179749
19,697,attack,direct,detour,1.560179591178894
19,708,direct,direct,detour,0.9339356422424316
19,720,direct,direct,detour,0.5259387493133545
19,730,direct,attack,detour,0.9958815574645996
19,736,attack,direct,detour,1.542145848274231
19,749,direct,attack,detour,0.8384264707565308
19,758,attack,direct,detour,1.118851900100708
19,774,direct,direct,detour,1.0080735683441162
19,788,direct,direct,detour,0.7079060077667236
19,800,direct,direct,attack,0.9604741334915161
19,810,direct,detour,attack,0.5738908648490906
19,838,detour,direct,attack,0.3420071601867676
19,854,direct,direct,attack,0.47820013761520386
19,874,direct,attack,attack,1.152449131011963
20,887,attack,detour,attack,0.9446737766265869
21,946,detour,direct,attack,1.5973742008209229
22,967,direct,direct,direct,0.16265495121479034
24,994,direct,direct,direct,0.2171478271484375
25,1028,direct,direct,direct,0.28974467515945435
27,1049,direct,direct,direct,0.4800923466682434
28,1063,direct,attack,direct,0.4941277503967285
29,1081,attack,direct,direct,1.1882309913635254
30,1104,direct,direct,direct,0.569271445274353
31,1122,direct,detour,detour,0.8834109306335449
31,1154,detour,detour,detour,0.3137097954750061
32,1200,detour,detour,detour,0.30298900604248047
34,1236,detour,direct,detour,1.3642098903656006
34,1273,direct,direct,detour,0.14233630895614624
34,1304,direct,direct,attack,0.21398673951625824
34,1357,direct,direct,attack,0.43443021178245544
35,1396,direct,attack,attack,0.8239971399307251
35,1420,attack,attack,attack,0.2981792390346527
36,1443,attack,direct,direct,1.2826942205429077
38,1474,direct,detour,direct,0.6450151205062866
39,1483,detour,direct,direct,0.4799768328666687
40,1508,direct,direct,direct,0.25592494010925293
41,1538,direct,attack,direct,0.8729074001312256
43,1593,attack,attack,direct,0.1414700448513031
44,1628,attack,attack,detour,0.28282201290130615
44,1642,attack,detour,detour,0.5642434358596802
44,1653,detour,attack,detour,1.3478398323059082
44,1664,attack,direct,detour,1.3577662706375122
44,1682,direct,detour,detour,0.41482222080230713
44,1696,detour,attack,detour,0.9037346839904785
44,1709,attack,detour,detour,0.7008914947509766
44,1721,detour,attack,detour,0.959747314453125
44,1735,attack,detour,detour,0.6453487873077393
44,1749,detour,direct,detour,0.874695897102356
44,1765,direct,detour,attack,0.840514063835144
44,1790,detour,detour,attack,0.3139584958553314
44,1810,detour,attack,attack,0.6474947333335876
44,1823,attack,attack,attack,0.3838949501514435
44,1856,attack,attack,attack,0.21403418481349945
44,1903,attack,attack,attack,0.24503248929977417
45,1924,attack,direct,direct,1.0948508977890015
47,1951,direct,direct,direct,0.8666775822639465
48,1976,direct,direct,direct,0.3512124717235565
50,1998,direct,direct,direct,0.4483824372291565
52,2034,direct,direct,direct,0.4363628327846527
53,2066,direct,direct,direct,0.5276843905448914
54,2088,direct,detour,detour,0.5761942863464355
54,2125,detour,detour,detour,0.49749889969825745
55,2144,detour,detour,detour,0.2659602761268616
56,2174,detour,detour,detour,0.33534353971481323
57,2205,detour,direct,detour,0.8277243375778198
57,2255,direct,direct,attack,0.07734634727239609
57,2304,direct,direct,attack,0.09514651447534561
57,2353,direct,direct,attack,0.5116955041885376
58,2378,direct,detour,attack,1.1357026100158691
59,2402,detour,detour,direct,0.8679795265197754
59,2421,detour,detour,direct,0.6355014443397522
61,2456,detour,direct,direct,1.2132515907287598
62,2474,direct,direct,direct,0.45872825384140015
64,2503,direct,attack,direct,0.635528028011322
65,2523,attack,attack,direct,0.30257561802864075
66,2540,attack,direct,direct,0.5575388669967651
67,2587,direct,direct,detour,0.203423410654068
68,2631,direct,attack,detour,0.6934726238250732
68,2639,attack,direct,detour,0.6673014163970947
68,2662,direct,direct,detour,0.4237132966518402
68,2715,direct,direct,detour,0.27222585678100586
69,2739,direct,direct,attack,0.3298787772655487
69,2782,direct,attack,attack,0.3028739392757416
69,2798,attack,attack,attack,0.8630101680755615
69,2827,attack,attack,attack,0.2066974639892578
69,2870,attack,attack,attack,0.16811273992061615
70,2891,attack,attack,direct,0.10428479313850403
72,2929,attack,direct,direct,1.7474510669708252
72,2952,direct,direct,direct,0.3101593852043152
76,2991,direct,attack,direct,1.080179214477539
77,3017,attack,direct,direct,0.7432554960250854
78,3061,direct,detour,detour,0.46722596883773804
78,3083,detour,attack,detour,1.1834355592727661
78,3103,attack,detour,detour,1.1832464933395386
78,3120,detour,direct,detour,0.8147052526473999
78,3159,direct,direct,detour,0.35241398215293884
79,3200,direct,detour,attack,0.6172575950622559
79,3227,detour,detour,attack,0.6282499432563782
79,3253,detour,detour,attack,0.7922730445861816
79,3274,detour,direct,attack,0.540303111076355
79,3303,direct,attack,attack,0.6637483835220337
79,3321,attack,detour,attack,0.6769979000091553
79,3336,detour,direct,attack,0.7564465403556824
79,3360,direct,attack,direct,1.7630820274353027
80,3399,attack,detour,direct,0.6108977198600769
81,3422,detour,direct,direct,1.0806963443756104
83,3456,direct,detour,direct,0.21993041038513184
86,3489,detour,direct,direct,0.6032074093818665
88,3530,direct,direct,detour,0.17167159914970398
88,3557,direct,direct,detour,0.2086588740348816
88,3598,direct,attack,detour,1.7063956260681152
88,3607,attack,detour,detour,0.9005274176597595
88,3618,detour,direct,detour,0.8815447092056274
88,3625,direct,detour,detour,1.8332643508911133
88,3636,detour,direct,detour,0.9727773070335388
88,3646,direct,direct,detour,0.15531425178050995
88,3655,direct,attack,detour,1.2208786010742188
88,3666,attack,attack,detour,0.9104368090629578
88,3682,attack,direct,attack,1.978550672531128
88,3693,direct,direct,attack,0.44562870264053345
88,3732,direct,direct,attack,0.32471486926078796
88,3785,direct,direct,attack,0.16569265723228455
89,3830,direct,direct,attack,0.29481130838394165
90,3848,direct,detour,direct,0.4296804964542389
91,3880,detour,detour,direct,0.16481274366378784
93,3912,detour,attack,direct,0.7866760492324829
94,3928,attack,detour,direct,0.962164044380188
95,3951,detour,detour,direct,0.5073790550231934
98,3987,detour,direct,direct,0.6424243450164795
99,4035,direct,direct,detour,0.6681228280067444
99,4048,direct,direct,detour,0.39046886563301086
99,4089,direct,attack,detour,1.4029438495635986
99,4103,attack,direct,detour,1.4833441972732544
99,4111,direct,attack,detour,1.24180269241333
99,4131,attack,attack,detour,0.40356385707855225
99,4145,attack,attack,detour,0.3112751841545105
99,4164,attack,direct,attack,1.2830346822738647
99,4186,direct,direct,attack,0.37627485394477844
99,4248,direct,direct,attack,0.13152524828910828
101,4287,direct,direct,attack,0.2147972285747528
102,4318,direct,direct,attack,0.30314260721206665
104,4355,direct,detour,direct,0.7845172882080078
106,4387,detour,direct,direct,0.2798956036567688
108,4430,direct,detour,direct,0.5338857769966125
109,4470,detour,direct,direct,0.6662695407867432
110,4505,direct,direct,detour,0.32485347986221313
110,4521,direct,detour,detour,0.47398728132247925
110,4535,detour,detour,detour,0.5968146324157715
110,4546,detour,direct,detour,0.8744009137153625
110,4565,direct,attack,detour,0.39064425230026245
110,4580,attack,detour,detour,1.0936379432678223
110,4599,detour,detour,detour,0.4616052508354187
110,4612,detour,direct,detour,1.2047516107559204
110,4629,direct,attack,detour,0.45176470279693604
110,4642,attack,direct,attack,1.6665107011795044
110,4699,direct,direct,attack,0.20831207931041718
111,4772,direct,direct,attack,0.2924236059188843
111,4800,direct,detour,direct,1.5183652639389038
114,4825,detour,direct,direct,1.0004327297210693
116,4854,direct,direct,direct,0.7578620314598083
119,4890,direct,detour,direct,0.597226083278656
122,4939,detour,direct,direct,0.7288010716438293
