ops_final_intruder_policy,episodes,ops_win_rate,baseline_win_rate,mean_reward_gap,baseline_only_wins,ops_only_wins
attack,10,0.0,0.1,-39.611678,1,0
direct,519,0.009634,0.138728,-31.002021,70,3
detour,271,1.0,0.217712,173.266133,0,212
