episode,opsdemo_reward,baseline_reward
315,97.0,94.0
316,95.0,89.0
317,81.0,92.0
318,89.0,89.0
319,85.0,88.0
320,89.0,93.0
321,78.0,90.0
322,85.0,90.0
323,94.0,91.0
324,90.0,90.0
325,68.0,94.0
326,43.0,92.0
327,95.0,97.0
328,92.0,90.0
329,93.0,82.0
330,88.0,84.0
331,76.0,88.0
332,88.0,92.0
333,87.0,91.0
334,93.0,92.0
335,93.0,88.0
336,88.0,89.0
337,86.0,87.0
338,97.0,94.0
339,83.0,88.0
340,84.0,88.0
341,82.0,94.0
342,93.0,96.0
343,-57.0,99.0
344,91.0,87.0
345,90.0,89.0
346,85.0,96.0
347,90.0,91.0
348,90.0,90.0
349,90.0,88.0
350,93.0,90.0
351,95.0,87.0
352,87.0,92.0
353,82.0,89.0
354,97.0,83.0
355,49.0,86.0
356,97.0,92.0
357,95.0,90.0
358,-57.0,94.0
359,91.0,89.0
360,87.0,93.0
361,90.0,98.0
362,95.0,92.0
363,95.0,91.0
364,85.0,90.0
365,97.0,96.0
366,91.0,92.0
367,89.0,90.0
368,94.0,87.0
369,87.0,86.0
370,86.0,89.0
371,88.0,88.0
372,86.0,92.0
373,93.0,96.0
374,86.0,89.0
375,81.0,86.0
376,50.0,92.0
377,93.0,96.0
378,90.0,90.0
379,93.0,90.0
380,99.0,88.0
381,91.0,87.0
382,84.0,95.0
383,95.0,92.0
384,93.0,94.0
385,96.0,82.0
386,96.0,88.0
387,97.0,93.0
388,94.0,88.0
389,87.0,95.0
390,61.0,93.0
391,61.0,98.0
392,88.0,88.0
393,-45.0,87.0
394,91.0,99.0
395,97.0,90.0
396,91.0,95.0
397,96.0,97.0
398,94.0,84.0
399,87.0,87.0
400,94.0,90.0
401,92.0,91.0
402,84.0,94.0
403,94.0,93.0
404,97.0,91.0
405,95.0,97.0
406,95.0,87.0
407,89.0,89.0
408,93.0,92.0
409,-42.0,84.0
410,94.0,91.0
411,93.0,89.0
412,93.0,94.0
413,59.0,90.0
414,95.0,86.0
415,96.0,94.0
416,94.0,88.0
417,91.0,89.0
418,94.0,92.0
419,93.0,79.0
420,92.0,94.0
421,90.0,84.0
422,91.0,89.0
423,92.0,93.0
424,78.0,97.0
425,-66.0,89.0
426,93.0,97.0
427,51.0,91.0
428,78.0,95.0
429,86.0,91.0
430,93.0,86.0
431,90.0,97.0
432,92.0,90.0
433,90.0,82.0
434,93.0,90.0
435,94.0,90.0
436,86.0,89.0
437,90.0,90.0
438,93.0,76.0
439,91.0,96.0
440,93.0,85.0
441,77.0,97.0
442,99.0,89.0
443,91.0,85.0
444,92.0,93.0
445,92.0,85.0
446,94.0,93.0
447,56.0,95.0
448,96.0,89.0
449,93.0,92.0
450,85.0,95.0
451,91.0,85.0
452,97.0,88.0
453,97.0,96.0
454,95.0,89.0
455,94.0,94.0
456,96.0,90.0
457,94.0,88.0
458,95.0,91.0
459,91.0,96.0
460,96.0,86.0
461,86.0,91.0
462,94.0,95.0
463,95.0,93.0
464,-54.0,96.0
465,90.0,98.0
466,97.0,89.0
467,92.0,96.0
468,84.0,86.0
469,92.0,91.0
470,92.0,91.0
471,90.0,90.0
472,99.0,81.0
473,85.0,89.0
474,92.0,88.0
475,90.0,95.0
476,93.0,88.0
477,93.0,90.0
478,91.0,85.0
479,95.0,96.0
480,90.0,89.0
481,98.0,78.0
482,92.0,86.0
483,96.0,80.0
484,97.0,80.0
485,92.0,89.0
486,96.0,97.0
487,-48.0,91.0
488,95.0,80.0
489,94.0,94.0
490,78.0,90.0
491,94.0,90.0
492,77.0,87.0
493,87.0,87.0
494,96.0,89.0
495,95.0,93.0
496,91.0,94.0
497,85.0,88.0
498,95.0,92.0
499,90.0,96.0
500,95.0,90.0
501,95.0,92.0
502,94.0,97.0
503,90.0,95.0
504,92.0,90.0
505,89.0,92.0
506,95.0,92.0
507,97.0,89.0
508,-48.0,93.0
509,96.0,95.0
510,92.0,90.0
511,-45.0,88.0
512,82.0,93.0
513,94.0,97.0
514,89.0,91.0
515,94.0,88.0
516,87.0,92.0
517,93.0,95.0
518,89.0,90.0
519,96.0,89.0
520,91.0,90.0
521,82.0,93.0
522,91.0,81.0
523,88.0,99.0
524,83.0,92.0
525,48.0,93.0
526,91.0,91.0
527,68.0,90.0
528,98.0,89.0
529,93.0,97.0
530,94.0,90.0
531,94.0,95.0
532,91.0,90.0
533,92.0,93.0
534,89.0,95.0
535,92.0,94.0
536,97.0,83.0
537,90.0,96.0
538,96.0,94.0
539,91.0,97.0
540,92.0,99.0
541,93.0,94.0
542,93.0,98.0
543,92.0,93.0
544,93.0,89.0
545,91.0,95.0
546,-67.0,94.0
547,57.0,92.0
548,91.0,93.0
549,88.0,92.0
550,90.0,91.0
551,95.0,92.0
552,74.0,93.0
553,82.0,93.0
554,93.0,96.0
555,90.0,92.0
556,88.0,98.0
557,90.0,94.0
558,92.0,95.0
559,95.0,96.0
560,96.0,95.0
561,92.0,85.0
562,98.0,95.0
563,84.0,91.0
564,85.0,94.0
565,80.0,87.0
566,89.0,88.0
567,92.0,88.0
568,93.0,91.0
569,91.0,84.0
570,95.0,96.0
571,94.0,91.0
572,92.0,91.0
573,92.0,84.0
574,90.0,96.0
575,97.0,82.0
576,94.0,94.0
577,88.0,95.0
578,98.0,92.0
579,93.0,99.0
580,84.0,92.0
581,56.0,83.0
582,89.0,85.0
583,97.0,92.0
584,70.0,95.0
585,57.0,88.0
586,96.0,97.0
587,95.0,79.0
588,84.0,90.0
589,99.0,93.0
590,90.0,95.0
591,95.0,93.0
592,97.0,88.0
593,97.0,92.0
594,90.0,92.0
595,91.0,88.0
596,93.0,93.0
597,94.0,91.0
598,93.0,83.0
599,92.0,89.0
600,89.0,96.0
601,83.0,93.0
602,94.0,96.0
603,53.0,88.0
604,43.0,93.0
605,92.0,96.0
606,90.0,93.0
607,94.0,95.0
608,97.0,84.0
609,88.0,89.0
610,93.0,84.0
611,90.0,90.0
612,91.0,85.0
613,93.0,86.0
614,91.0,91.0
615,91.0,90.0
616,-51.0,89.0
617,-62.0,94.0
618,55.0,96.0
619,96.0,97.0
620,90.0,84.0
621,94.0,87.0
622,91.0,91.0
623,96.0,95.0
624,93.0,95.0
625,88.0,88.0
626,90.0,92.0
627,88.0,95.0
628,93.0,91.0
629,94.0,95.0
630,98.0,86.0
631,85.0,84.0
632,69.0,94.0
633,88.0,90.0
634,96.0,92.0
635,92.0,86.0
636,-54.0,84.0
637,96.0,92.0
638,98.0,92.0
639,91.0,93.0
640,99.0,87.0
641,88.0,95.0
642,94.0,88.0
643,94.0,92.0
644,91.0,99.0
645,89.0,83.0
646,91.0,93.0
647,94.0,90.0
648,94.0,85.0
649,98.0,85.0
650,88.0,87.0
651,97.0,93.0
652,63.0,93.0
653,95.0,93.0
654,97.0,91.0
655,96.0,89.0
656,91.0,88.0
657,-41.0,83.0
658,91.0,88.0
659,96.0,93.0
660,92.0,93.0
661,94.0,93.0
662,90.0,93.0
663,93.0,91.0
664,87.0,87.0
665,95.0,96.0
666,93.0,91.0
667,93.0,94.0
668,93.0,98.0
669,94.0,92.0
670,97.0,92.0
671,95.0,85.0
672,92.0,93.0
673,91.0,87.0
674,94.0,88.0
675,89.0,94.0
676,-54.0,87.0
677,49.0,89.0
678,72.0,95.0
679,95.0,87.0
680,91.0,91.0
681,90.0,96.0
682,92.0,94.0
683,96.0,92.0
684,85.0,89.0
685,93.0,89.0
686,92.0,99.0
687,95.0,91.0
688,98.0,85.0
689,89.0,93.0
690,76.0,89.0
691,92.0,81.0
692,85.0,90.0
693,92.0,93.0
694,95.0,94.0
695,93.0,91.0
696,-51.0,90.0
697,93.0,97.0
698,93.0,94.0
699,95.0,89.0
700,96.0,97.0
701,95.0,97.0
702,95.0,94.0
703,95.0,93.0
704,93.0,90.0
705,87.0,93.0
706,95.0,82.0
707,97.0,88.0
708,94.0,92.0
709,95.0,85.0
710,93.0,86.0
711,90.0,92.0
712,97.0,95.0
713,93.0,88.0
714,95.0,93.0
715,95.0,95.0
716,78.0,92.0
717,-56.0,89.0
718,95.0,90.0
719,43.0,84.0
720,91.0,92.0
721,88.0,87.0
722,92.0,96.0
723,91.0,88.0
724,89.0,92.0
725,95.0,83.0
726,89.0,91.0
727,87.0,89.0
728,95.0,83.0
729,94.0,92.0
730,93.0,90.0
731,67.0,89.0
732,90.0,88.0
733,-63.0,94.0
734,-51.0,90.0
735,87.0,89.0
736,92.0,99.0
737,97.0,90.0
738,94.0,79.0
739,92.0,91.0
740,93.0,92.0
741,97.0,88.0
742,95.0,78.0
743,92.0,88.0
744,88.0,97.0
745,91.0,93.0
746,86.0,95.0
747,87.0,96.0
748,43.0,84.0
749,72.0,88.0
750,92.0,99.0
751,98.0,93.0
752,90.0,94.0
753,92.0,92.0
754,93.0,91.0
755,95.0,91.0
756,83.0,88.0
757,88.0,87.0
758,84.0,94.0
759,93.0,83.0
760,95.0,96.0
761,85.0,92.0
762,90.0,90.0
763,94.0,96.0
764,93.0,94.0
765,73.0,86.0
766,-60.0,94.0
767,51.0,89.0
768,96.0,92.0
769,91.0,92.0
770,86.0,90.0
771,86.0,92.0
772,88.0,87.0
773,89.0,81.0
774,83.0,95.0
775,93.0,93.0
776,94.0,95.0
777,60.0,96.0
778,-65.0,90.0
779,91.0,88.0
780,69.0,89.0
781,96.0,80.0
782,95.0,86.0
783,86.0,91.0
784,95.0,92.0
785,89.0,96.0
786,97.0,92.0
787,93.0,91.0
788,93.0,95.0
789,92.0,95.0
790,95.0,92.0
791,89.0,94.0
792,-48.0,88.0
793,97.0,90.0
794,93.0,89.0
795,96.0,86.0
796,58.0,98.0
