episode,global_step,episode_step,true_policy,new_assumed_policy
2,16,4,chase_x,chase_x
3,25,3,chase_x,chase_y
4,31,3,chase_x,chase_x
5,48,4,chase_x,chase_x
8,62,1,chase_x,chase_x
9,72,5,chase_x,chase_x
10,80,8,chase_x,chase_x
12,96,9,chase_x,chase_x
13,102,5,chase_y,chase_x
13,107,10,chase_y,chase_x
13,112,15,chase_y,chase_y
13,120,23,chase_y,chase_x
13,125,28,chase_y,chase_y
13,132,35,chase_y,chase_x
14,137,5,chase_y,chase_x
14,142,10,chase_y,chase_x
14,149,17,chase_y,chase_x
14,156,24,chase_y,chase_x
15,163,7,chase_y,chase_y
17,177,7,chase_y,chase_x
17,183,13,chase_y,chase_x
17,188,18,chase_y,chase_x
17,193,23,chase_y,chase_y
17,199,29,chase_y,chase_x
19,211,2,chase_x,chase_x
20,225,4,chase_x,chase_x
23,239,7,chase_x,chase_x
24,245,5,chase_x,chase_x
25,255,5,chase_x,chase_x
27,265,4,chase_x,chase_x
29,279,7,chase_x,chase_x
32,299,4,chase_x,chase_y
32,306,11,chase_y,chase_x
32,311,16,chase_y,chase_y
33,320,6,chase_y,chase_x
34,326,5,chase_y,chase_x
34,332,11,chase_y,chase_x
34,339,18,chase_y,chase_y
37,355,4,chase_y,chase_x
37,360,9,chase_y,chase_x
37,366,15,chase_y,chase_x
37,371,20,chase_y,chase_y
37,378,27,chase_y,chase_x
37,384,33,chase_y,chase_x
38,392,1,chase_y,chase_x
38,398,7,chase_y,chase_x
40,407,1,chase_x,chase_y
40,412,6,chase_x,chase_x
41,421,2,chase_x,chase_x
43,435,1,chase_x,chase_x
43,441,7,chase_x,chase_x
46,459,6,chase_x,chase_x
48,466,4,chase_x,chase_x
49,477,7,chase_x,chase_x
51,485,3,chase_x,chase_x
51,491,9,chase_x,chase_y
52,496,5,chase_x,chase_x
53,502,3,chase_y,chase_x
53,507,8,chase_y,chase_y
53,513,14,chase_y,chase_x
53,520,21,chase_y,chase_x
53,527,28,chase_y,chase_y
54,533,2,chase_y,chase_x
54,539,8,chase_y,chase_x
54,551,20,chase_y,chase_x
55,557,1,chase_y,chase_y
58,575,2,chase_y,chase_x
58,580,7,chase_y,chase_x
59,586,5,chase_y,chase_x
59,592,11,chase_y,chase_x
59,599,18,chase_y,chase_y
59,604,23,chase_x,chase_x
60,613,4,chase_x,chase_x
60,618,9,chase_x,chase_x
60,625,16,chase_x,chase_x
62,634,4,chase_x,chase_x
63,643,8,chase_x,chase_y
64,648,5,chase_x,chase_x
65,657,3,chase_x,chase_x
66,667,8,chase_x,chase_x
68,680,7,chase_x,chase_x
69,690,10,chase_x,chase_x
71,703,4,chase_y,chase_y
71,710,11,chase_y,chase_x
71,718,19,chase_y,chase_x
71,725,26,chase_y,chase_y
71,733,34,chase_y,chase_x
72,739,6,chase_y,chase_x
72,746,13,chase_y,chase_y
