episode,global_step,episode_step,true_policy,new_assumed_policy
2,17,5,chase_x,chase_x
3,26,4,chase_x,chase_x
4,39,11,chase_x,chase_x
7,58,3,chase_x,chase_x
9,73,7,chase_x,chase_x
10,81,5,chase_x,chase_x
11,92,6,chase_x,chase_x
14,110,3,chase_y,chase_x
14,115,8,chase_y,chase_x
14,120,13,chase_y,chase_x
14,125,18,chase_y,chase_x
14,132,25,chase_y,chase_x
14,137,30,chase_y,chase_x
14,142,35,chase_y,chase_x
14,147,40,chase_y,chase_x
15,152,5,chase_y,chase_y
16,160,1,chase_y,chase_x
16,166,7,chase_y,chase_x
16,171,12,chase_y,chase_x
16,176,17,chase_y,chase_x
16,181,22,chase_y,chase_x
16,187,28,chase_y,chase_x
16,194,35,chase_y,chase_x
16,199,40,chase_y,chase_x
17,209,10,chase_x,chase_x
17,214,15,chase_x,chase_x
19,227,9,chase_x,chase_x
21,242,7,chase_x,chase_x
23,254,5,chase_x,chase_x
25,268,3,chase_x,chase_x
26,282,9,chase_x,chase_x
29,308,7,chase_y,chase_x
29,314,13,chase_y,chase_x
29,319,18,chase_y,chase_x
29,326,25,chase_y,chase_x
29,331,30,chase_y,chase_y
30,344,7,chase_y,chase_x
30,350,13,chase_y,chase_x
30,355,18,chase_y,chase_x
30,360,23,chase_y,chase_x
30,369,32,chase_y,chase_x
30,374,37,chase_y,chase_x
31,380,3,chase_y,chase_x
31,387,10,chase_y,chase_x
31,392,15,chase_y,chase_x
31,397,20,chase_y,chase_x
31,407,30,chase_x,chase_x
32,415,3,chase_x,chase_x
34,432,1,chase_x,chase_x
34,438,7,chase_x,chase_x
35,443,2,chase_x,chase_y
35,452,11,chase_x,chase_x
36,459,5,chase_x,chase_x
37,466,6,chase_x,chase_x
39,479,6,chase_x,chase_y
39,486,13,chase_x,chase_x
40,492,2,chase_x,chase_y
40,498,8,chase_x,chase_x
40,503,13,chase_y,chase_y
41,518,7,chase_y,chase_x
42,527,7,chase_y,chase_y
43,535,5,chase_y,chase_x
43,541,11,chase_y,chase_x
43,547,17,chase_y,chase_y
43,555,25,chase_y,chase_x
43,561,31,chase_y,chase_x
43,566,36,chase_y,chase_x
44,573,3,chase_y,chase_x
45,578,5,chase_y,chase_x
45,585,12,chase_y,chase_y
45,591,18,chase_y,chase_x
46,596,5,chase_y,chase_x
46,605,14,chase_x,chase_x
48,618,4,chase_x,chase_x
49,627,5,chase_x,chase_x
49,635,13,chase_x,chase_x
50,641,5,chase_x,chase_x
51,650,6,chase_x,chase_x
53,665,2,chase_x,chase_x
54,675,4,chase_x,chase_x
55,689,8,chase_x,chase_x
57,702,5,chase_y,chase_y
58,710,4,chase_y,chase_x
58,717,11,chase_y,chase_x
58,723,17,chase_y,chase_y
58,729,23,chase_y,chase_x
58,735,29,chase_y,chase_y
58,742,36,chase_y,chase_x
59,755,9,chase_y,chase_y
60,765,7,chase_y,chase_x
60,770,12,chase_y,chase_x
60,776,18,chase_y,chase_x
