reason,ops_count,baseline_count,ops_minus_baseline
entered_big_circle,508,768,-260
active_collision,19,21,-2
entered_small_circle,10,10,0
intercepted_in_big_circle,3,0,3
intercepted_before_small_circle,260,1,259
