episode,global_step,episode_step,reward,intruder_policy,winner,reason
5,144,25,-0.08018566727638246,direct,,running
5,145,26,-0.0797402060031891,direct,,running
5,146,27,-100.0,direct,intruder,entered_big_circle
6,147,1,-0.17873959898948671,direct,,running
6,148,2,-0.1731979286670685,direct,,running
6,149,3,-0.1677689826488495,direct,,running
6,150,4,-0.16246286392211917,direct,,running
6,151,5,-0.15729066491127014,direct,,running
6,152,6,-0.15226458072662355,direct,,running
6,153,7,-0.1473979926109314,direct,,running
6,154,8,-0.14270549774169924,direct,,running
6,155,9,-0.13820300459861756,direct,,running
6,156,10,-0.13390778660774233,direct,,running
6,157,11,-0.12983843445777896,direct,,running
6,158,12,-100.0,direct,intruder,entered_big_circle
7,159,1,-0.224793860912323,direct,,running
7,160,2,-0.2176629102230072,detour,,running
7,161,3,-0.21058778524398808,detour,,running
7,162,4,-0.20357367157936096,detour,,running
7,163,5,-0.19662647008895878,detour,,running
7,164,6,-0.19230642676353454,detour,,running
7,165,7,-0.1853698468208313,detour,,running
7,166,8,-0.18099252343177796,detour,,running
7,167,9,-0.17406921148300175,detour,,running
7,168,10,-0.16963166356086734,detour,,running
7,169,11,-0.1652341401576996,detour,,running
7,170,12,-0.1578418529033661,detour,,running
7,171,13,-0.15340022206306458,detour,,running
7,172,14,-0.14641839623451236,detour,,running
7,173,15,-0.14191125988960268,detour,,running
7,174,16,-0.13494900822639466,detour,,running
7,175,17,-0.13037200927734377,detour,,running
7,176,18,-0.12584716439247132,detour,,running
7,177,19,-0.12137902140617371,detour,,running
7,178,20,-0.11697257518768313,detour,,running
7,179,21,-0.11263323187828064,detour,,running
7,180,22,-0.1053292548656464,detour,,running
7,181,23,-0.1009267604351044,detour,,running
7,182,24,-0.09660426139831543,detour,,running
7,183,25,-0.09114655017852785,detour,,running
7,184,26,-0.08698764204978943,detour,,running
7,185,27,-0.07938205361366274,detour,,running
7,186,28,-0.07517478823661805,detour,,running
7,187,29,-0.07108695268630982,detour,,running
7,188,30,-0.06713133811950683,detour,,running
7,189,31,-0.06332201719284057,detour,,running
7,190,32,-0.05967426657676696,detour,,running
7,191,33,-0.05620450139045716,detour,,running
7,192,34,-0.04795709013938904,detour,,running
7,193,35,-0.04453603982925415,detour,,running
7,194,36,-0.04134878277778625,detour,,running
7,195,37,-0.032904086112976065,detour,,running
7,196,38,-0.029839411973953248,detour,,running
7,197,39,-0.022242496013641352,detour,,running
7,198,40,-0.01973643958568573,detour,,running
7,199,41,-0.011239302754402165,detour,,running
7,200,42,-0.009641749262809758,detour,,running
7,201,43,-0.0025167769193649298,detour,,running
7,202,44,0.003000419735908512,detour,,running
7,203,45,0.008013754487037658,detour,,running
7,204,46,0.01277754247188568,detour,,running
7,205,47,0.017270689606666563,detour,,running
7,206,48,0.021210203468799586,detour,,running
7,207,49,0.023905690908432004,detour,,running
7,208,50,0.024315359592437746,detour,,running
7,209,51,0.028855846226215363,detour,,running
7,210,52,0.03281939342617989,detour,,running
7,211,53,0.03498320668935776,detour,,running
7,212,54,0.03263811036944389,detour,,running
7,213,55,0.026097526550292967,detour,,running
7,214,56,0.01781563550233841,detour,,running
7,215,57,0.016778851449489596,detour,,running
7,216,58,0.018684216737747193,detour,,running
7,217,59,100.0,detour,interceptor,intercepted_before_small_circle
8,218,1,-0.20303908348083496,detour,,running
8,219,2,-0.19647212982177734,detour,,running
8,220,3,-0.18990217208862306,detour,,running
8,221,4,-0.18332986593246461,detour,,running
8,222,5,-0.17675592064857487,detour,,running
8,223,6,-0.17018111109733583,detour,,running
8,224,7,-0.16360648632049563,detour,,running
8,225,8,-0.15703307151794438,detour,,running
8,226,9,-0.1504620945453644,detour,,running
8,227,10,-0.14389498591423036,detour,,running
8,228,11,-0.13733336687088016,detour,,running
8,229,12,-0.1307791090011597,detour,,running
8,230,13,-0.12423439979553225,detour,,running
8,231,14,-0.1177017664909363,detour,,running
8,232,15,-0.11118414163589478,detour,,running
8,233,16,-0.10468500614166261,detour,,running
8,234,17,-0.09820839524269104,detour,,running
8,235,18,-0.09175911903381348,detour,,running
8,236,19,-0.08534289360046388,detour,,running
8,237,20,-0.07896658539772033,detour,,running
8,238,21,-0.0726384139060974,detour,,running
8,239,22,-0.06636838674545287,detour,,running
8,240,23,-0.06016865730285645,detour,,running
8,241,24,-0.05405426383018493,detour,,running
8,242,25,-0.04804370760917663,detour,,running
8,243,26,-0.04216011822223663,detour,,running
8,244,27,-0.03643243074417114,detour,,running
8,245,28,-0.03089702188968657,detour,,running
8,246,29,-0.025599998831748953,detour,,running
8,247,30,-0.02062832176685333,detour,,running
8,248,31,-0.016068107485771185,detour,,running
8,249,32,-0.012348524332046508,detour,,running
8,250,33,-0.01168341398239136,detour,,running
8,251,34,-0.007553783655166624,detour,,running
8,252,35,-0.0034619843959808327,detour,,running
8,253,36,0.0006550574302673362,detour,,running
8,254,37,0.004774817228317255,detour,,running
8,255,38,0.008740892410278325,detour,,running
8,256,39,0.01218530178070068,detour,,running
8,257,40,0.016830103993415835,detour,,running
