episode,global_step,episode_step,reward,episode_reward_so_far,intruder_policy,intruder_policy_before_step,response_policy,response_policy_correct,winner,reason,collision,intruder_distance,agent_distance,interceptor_action_x,interceptor_action_y,intruder_action_x,intruder_action_y,sam_pred_action_x,sam_pred_action_y,sam_uncertainty_x,sam_uncertainty_y,sam_uncertainty_mean,sam_normalized_error,sam_running_error,sam_switched,sam_candidate_error_direct,sam_candidate_error_detour,sam_candidate_error_attack
0,1,1,-0.19980222940444947,-0.19980222940444947,direct,direct,direct,True,,running,False,1.2566750049591064,1.263179898262024,-0.02199999988079071,0.02199999988079071,-0.012439227662980556,-0.01301021222025156,-0.00737824197858572,-0.008671627379953861,0.024286562576889992,0.026225052773952484,0.025255806744098663,0.1869114488363266,0.1369114488363266,False,0.10036756843328476,1.9191267490386963,0.6372380256652832
0,2,2,-0.19270288109779357,-0.392505110502243,direct,direct,direct,True,,running,False,1.2386749982833862,1.2231831550598145,0.02199999988079071,0.02199999988079071,-0.012439227662980556,-0.01301021222025156,-0.052441611886024475,0.006035793572664261,0.012273802421987057,0.028309881687164307,0.02029184252023697,1.965968370437622,2.052879819273949,False,3.1089470386505127,1.38148832321167,1.6061596870422363
0,3,3,-0.18560353279113773,-0.5781086432933807,direct,direct,direct,True,,running,False,1.220674991607666,1.183186411857605,0.02199999988079071,0.02199999988079071,-0.012439226731657982,-0.01301021222025156,-0.04347171634435654,-0.018279865384101868,0.033135779201984406,0.049598004668951035,0.04136689007282257,0.5213862061500549,2.524266025424004,False,0.8791823387145996,0.7261619567871094,2.1023857593536377
0,4,4,-0.17850420832633976,-0.7566128516197205,direct,direct,direct,True,,running,False,1.2026749849319458,1.143189787864685,0.02199999988079071,0.02199999988079071,-0.012439226731657982,-0.01301021222025156,-0.06458956003189087,0.01139785721898079,0.01719377003610134,0.014480799436569214,0.015837285667657852,2.359320878982544,4.833586904406548,False,1.2597976922988892,0.695231556892395,1.1092655658721924
0,5,5,-0.17583396196365358,-0.9324468135833741,direct,direct,direct,True,,running,False,1.1846749782562256,1.1253385543823242,-0.02199999988079071,0.02199999988079071,-0.012439226731657982,-0.013010213151574135,-0.056132663041353226,0.0028126928955316544,0.01707545481622219,0.026104021817445755,0.0215897373855114,1.5824965238571167,6.366083428263665,False,0.9881600141525269,1.209413766860962,0.8186932802200317
0,6,6,-0.17325524449348453,-1.1057020580768586,direct,direct,direct,True,,running,False,1.1666749715805054,1.1079449653625488,-0.02199999988079071,0.02199999988079071,-0.012439225800335407,-0.013010213151574135,-0.04426955431699753,-0.014385472983121872,0.020869312807917595,0.02926323190331459,0.025066271424293518,0.7861089110374451,7.10219233930111,False,0.8587428331375122,2.384917736053467,2.3763821125030518
0,7,7,-0.17495859622955326,-1.2806606543064118,direct,direct,direct,True,,running,False,1.1486749649047852,1.1119617223739624,-0.02199999988079071,-0.02199999988079071,-0.012439225800335407,-0.013010213151574135,-0.03514069691300392,-0.011952260509133339,0.019929835572838783,0.02496594563126564,0.022447891533374786,0.5907227396965027,7.642915078997613,False,0.826804518699646,1.3683338165283203,1.5509462356567383
0,8,8,-0.17666192412376405,-1.457322578430176,direct,direct,direct,True,,running,False,1.130674958229065,1.1159783601760864,-0.02199999988079071,-0.02199999988079071,-0.012439225800335407,-0.013010213151574135,-0.03735721483826637,-0.0333658903837204,0.024087632074952126,0.025147229433059692,0.024617429822683334,0.9219661951065063,0.0,True,1.3449461460113525,0.7363731861114502,0.542526125907898
0,9,9,-0.17418098211288455,-1.6315035605430606,direct,direct,attack,False,,running,False,1.1126749515533447,1.0990736484527588,-0.02199999988079071,0.02199999988079071,-0.012439225800335407,-0.013010213151574135,-0.010364729911088943,0.006279715336859226,0.021458661183714867,0.03574174642562866,0.02860020473599434,0.3181885778903961,0.26818857789039613,False,0.6026076078414917,0.6155581474304199,0.31173646450042725
0,10,10,-0.17127520203590396,-1.8027787625789644,direct,direct,attack,False,,running,False,1.0946749448776245,1.0800447463989258,0.02199999988079071,-0.02199999988079071,-0.012439224869012833,-0.01301021408289671,-0.018137093633413315,0.025455601513385773,0.019330821931362152,0.043692849576473236,0.031511835753917694,0.5875622034072876,0.8057507812976836,False,0.7666690945625305,1.0758726596832275,0.999398946762085
