episode,opsdemo_reward,baseline_reward
0,89.0,97.0
1,99.0,87.0
2,90.0,96.0
3,94.0,93.0
4,86.0,91.0
5,96.0,92.0
6,91.0,88.0
7,93.0,93.0
8,96.0,93.0
9,90.0,93.0
10,90.0,89.0
11,89.0,93.0
12,96.0,98.0
13,93.0,81.0
14,-58.0,93.0
15,88.0,90.0
16,-67.0,94.0
17,85.0,99.0
18,96.0,87.0
19,91.0,91.0
20,92.0,97.0
21,90.0,92.0
22,96.0,92.0
23,93.0,85.0
24,91.0,94.0
25,92.0,85.0
26,91.0,86.0
27,84.0,95.0
28,93.0,94.0
29,39.0,93.0
30,-59.0,88.0
31,53.0,85.0
32,89.0,89.0
33,92.0,92.0
34,90.0,97.0
35,84.0,93.0
36,94.0,89.0
37,93.0,94.0
38,94.0,90.0
39,79.0,92.0
40,77.0,93.0
41,91.0,90.0
42,90.0,92.0
43,-54.0,97.0
44,97.0,91.0
45,80.0,92.0
46,76.0,92.0
47,94.0,93.0
48,92.0,93.0
49,86.0,94.0
50,91.0,86.0
51,88.0,88.0
52,93.0,96.0
53,92.0,89.0
54,90.0,95.0
55,91.0,94.0
56,93.0,82.0
57,91.0,85.0
58,-46.0,86.0
59,83.0,96.0
60,-64.0,99.0
61,91.0,94.0
62,94.0,91.0
63,68.0,87.0
64,96.0,86.0
65,97.0,93.0
66,89.0,95.0
67,94.0,97.0
68,97.0,96.0
69,89.0,91.0
70,90.0,92.0
71,-47.0,89.0
72,84.0,87.0
73,91.0,93.0
74,93.0,93.0
75,87.0,95.0
76,65.0,91.0
77,96.0,92.0
78,89.0,92.0
79,95.0,92.0
80,96.0,94.0
81,80.0,90.0
82,93.0,84.0
83,89.0,94.0
84,82.0,90.0
85,87.0,94.0
86,93.0,91.0
87,87.0,87.0
88,64.0,90.0
89,94.0,87.0
90,88.0,88.0
91,95.0,89.0
92,98.0,98.0
93,60.0,94.0
94,90.0,89.0
95,84.0,93.0
96,90.0,94.0
97,87.0,91.0
98,66.0,95.0
99,94.0,91.0
100,85.0,84.0
101,91.0,86.0
102,52.0,90.0
103,-63.0,88.0
104,96.0,92.0
105,72.0,92.0
106,95.0,91.0
107,94.0,90.0
108,90.0,94.0
109,91.0,93.0
110,95.0,88.0
111,99.0,86.0
112,93.0,98.0
113,79.0,90.0
114,93.0,94.0
115,94.0,96.0
116,93.0,94.0
117,91.0,92.0
118,98.0,90.0
119,94.0,85.0
120,95.0,88.0
121,52.0,99.0
122,85.0,95.0
123,93.0,89.0
124,77.0,93.0
125,96.0,94.0
126,95.0,96.0
127,94.0,86.0
128,93.0,71.0
129,98.0,95.0
130,94.0,93.0
131,91.0,96.0
132,88.0,92.0
133,92.0,89.0
134,87.0,92.0
135,80.0,96.0
136,89.0,87.0
137,94.0,92.0
138,85.0,97.0
139,92.0,84.0
140,-46.0,84.0
141,97.0,87.0
142,94.0,88.0
143,94.0,88.0
144,55.0,91.0
145,90.0,89.0
146,97.0,89.0
147,91.0,95.0
148,91.0,89.0
149,93.0,86.0
150,86.0,95.0
151,95.0,93.0
152,95.0,92.0
153,83.0,92.0
154,-47.0,93.0
155,96.0,94.0
156,-47.0,93.0
157,89.0,97.0
158,94.0,93.0
159,84.0,96.0
160,95.0,97.0
161,92.0,93.0
162,95.0,93.0
163,91.0,93.0
164,93.0,82.0
165,89.0,93.0
166,93.0,92.0
167,97.0,88.0
168,88.0,96.0
169,94.0,97.0
170,93.0,96.0
171,94.0,96.0
172,-53.0,94.0
173,94.0,88.0
174,97.0,94.0
175,-53.0,89.0
176,95.0,85.0
177,75.0,89.0
178,93.0,95.0
179,93.0,87.0
180,95.0,84.0
181,95.0,88.0
182,92.0,91.0
183,92.0,93.0
184,91.0,98.0
185,94.0,91.0
186,93.0,96.0
187,91.0,86.0
188,77.0,98.0
189,-62.0,91.0
190,92.0,93.0
191,-60.0,95.0
192,79.0,90.0
193,94.0,92.0
194,92.0,93.0
195,93.0,86.0
196,89.0,80.0
197,92.0,96.0
198,95.0,87.0
199,93.0,93.0
